Feature ID	Taxon	Confidence
58416e0656f286ed0261a7592066402a	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	0.9977801691656252
a48fe6afddda13eea575a7259d5b0cd0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__uncultured_Firmicutes	0.8523632413968643
029ffdab99a816d662849977a1789cdc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter	0.7875576714136285
17ec42305c772c571813c7eaf0d8db61	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_flexus	0.8756908458516067
3222a78671445849ba1c1e64c85938c2	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter; s__bacterium	0.7097297598252267
2d2edcf1d2ca4c67ac67085a88fda23b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9903049395093837
0decd92f2605a60a8415611dae2471ae	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__uncultured_Firmicutes	0.900196142571816
db45a87a709b47371d5dbdb32845ed22	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9992567488005035
5e554c52225e563f5d8bef14e2e141e0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9902959566809557
ae30d7e91d62a7208167ca61fdba4c85	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9990172317822853
a615b88df9cf1ccf8104a1653d5a15da	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9992599674587479
af95b8d8e0227dd8628b01c47d401769	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae	0.9999985466244896
0478a153508ff57bb59895dbc01383d0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__unidentified	0.8506425982852959
75b7a68d19fa8adeb8dc8ce91db4df51	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9990109318453899
ab1e7075a4d6c24ddacce9947d8c0a08	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9993607616755835
48db0233de2248f6c15d737a5184805a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.8387260504195474
c548b434b77ffe82c42d8a87c84f8917	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_soil	0.9997379755740844
3822853852eaba348c52d89a3c4c8cc1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured	0.8657261974687401
d00dd3368dbc4f897643f90a2e4dc91f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__unidentified	0.8131761873148006
606a42a117b7017d3ae1906b02f89d71	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_soil	0.9997413371672769
0a125b5f4339b019c78914ca3e7a69a3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae	0.9999984734979412
26730a1980aa25294e82f18f2a59673e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.8385852975983907
6a630faac4f437832e1020f8742a11c2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__unidentified	0.7826375112116286
3ba02ded62b2ac86c2beb5b47d5c52d1	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9993573323919096
6ffb0ff4ed9428d5b171b0db98944e04	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9904761073552667
2b3ae79ee27432e5b9e0f55add7597f3	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae	0.9999644312705228
43d22c943670d84952d0c1840a7e316b	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_soil	0.9997889678288291
dd5355c2e14383e9a05f7b2fdd17a078	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__uncultured_Firmicutes	0.9301542286082831
e9269633a5b7d64c7dc5ca5056c4257d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium; s__uncultured_bacterium	0.7552169157905191
2c751737f243b40ab973f2fe1ea2a121	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.999366156376254
48ecde5f263422939d254d46d22af3bc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae	0.9999811372233389
ed5f6e8eadf314b8fb50e12cfa35fb0f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9988734398595475
57f0178ee46711d74653add5449ad373	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9846126408185318
8bbefe7b929d8d885ea948ee50baa275	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9903788045162002
09922a4c789ef7924bfcc9101eda6528	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_soil	0.9997918505911213
