,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Submission_ID,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,Biomass_NonTuber,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Type_Response
703,Burbank,Sterile,B2,M,Sterile,B2_8,5,B2_8_5,S,tube,NA,NA,56.24,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,5.1175,Positive
136,Huagalina,Sterile,H2,A,Sterile,H2_9,2,H2_9_2,S,C9,1,NA,6.77,6.01,12.78,NA,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,2.5325,4,1.47172447,4.2375,Positive
49,Norkodah,Sterile,N2,M,Sterile,N2_2,1,N2_2_1,none,B12,1,1.24,18.24,NA,19.48,NA,Y,NA,NA,NA,NA,NA,,Norkodah_Sterile_none,Sterile,none,14.20666667,3,7.321132274,4.033333333,Positive
10,Burbank,Winterfell,B2,M,Winterfell,B2_6,1,B2_6_1,none,E5,1,NA,45.93,14.95,60.88,NA,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,1.98,Positive
453,Huagalina,Winterfell,H2,A,H2_7,H2_5,4,H2_5_4,N,H5,1,NA,14.6,0.59,15.19,NA,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,13.41,4,3.0857333,1.19,Positive
370,Ranger,Winterfell,R2,M,R2_3,R2_5,3,R2_5_3,P,B5,2,0.14,0,NA,0.14,NA,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,0.33,2,0.33,-0.33,Negative
246,Norkodah,Hancock,N1,M,R1_6,R1_7,2,R1_7_2,P,A7,3,0.03,44.88,NA,44.91,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-0.425,Negative
243,Norkodah,Hancock,N1,M,R1_4,R1_2,2,R1_2_2,N,A2,3,NA,44.14,NA,44.14,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-1.165,Negative
134,Huagalina,Sterile,H1,A,Sterile,H1_2,2,H1_2_2,S,B2,1,NA,0,3.81,3.81,NA,,NA,NA,NA,NA,NA,,Huagalina_Sterile_S,Sterile,S,2.5325,4,1.47172447,-2.5325,Negative
422,G.Chili,Hancock,GC1,C,GC1_3,GC1_4,4,GC1_4_4,N,C4,1,NA,33.01,1.24,34.25,NA,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,35.68,3,4.639709043,-2.67,Negative
711,Burbank,Winterfell,B2,M,B2_5,B2_10,5,B2_10_5,P,tube,NA,NA,48.31,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-2.8125,Negative
69,Snowden,Sterile,S1,M,Sterile,S1_1,1,S1_1_1,none,C4,1,NA,61.22,11.75,72.97,NA,Y,NA,NA,NA,NA,NA,NO PLANT,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-3.53,Negative
709,Burbank,Winterfell,B2,M,B2_5,B2_4,5,B2_4_5,P,tube,NA,NA,47.17,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-3.9525,Negative
410,Wac 663,Winterfell,WA2,A,WA2_3,WA2_4,3,WA2_4_3,N,,NA,NA,0,1.64,1.64,NA,,NA,NA,NA,NA,NA,NO PLANT,Wac 663_Sterile_S,Sterile,S,4.125,2,1.655,-4.125,Negative
240,Norkodah,Hancock,N1,M,R1_4,R1_1,2,R1_1_2,N,A1,3,0.1,40.88,NA,40.98,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-4.425,Negative
248,Norkodah,Sterile,N1,M,Sterile,R1_4,2,R1_4_2,S,A4,3,0.2,40.42,NA,40.62,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-4.885,Negative
71,Snowden,Winterfell,S2,M,Winterfell,S2_1,1,S2_1_1,none,C9,1,NA,57.54,7.33,64.87,NA,Y,NA,NA,NA,NA,NA,NO TUBER,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-7.21,Negative
710,Burbank,Winterfell,B2,M,B2_5,B2_5,5,B2_5_5,P,tube,NA,NA,43.71,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-7.4125,Negative
38,Huagalina,Sterile,H2,A,Sterile,H2_6,1,H2_6_1,none,F6,1,1.03,27.64,NA,28.67,NA,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-7.653333333,Negative
242,Norkodah,Hancock,N1,M,R1_4,R1_10,2,R1_10_2,N,A10,3,0.04,37.06,NA,37.1,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-8.245,Negative
183,Burbank,Sterile,B2,M,Sterile,B2_9,2,B2_9_2,S,B9,2,NA,37.49,2.64,40.13,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,-8.445,Negative
57,Papa Cacho,Hancock,PC1,C,Hancock,PC1_6,1,PC1_6_1,none,,1,7.78,19.1,NA,26.88,NA,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-12.76,Negative
241,Norkodah,Hancock,N1,M,R1_4,R1_3,2,R1_3_2,N,A3,3,0.06,32.53,NA,32.59,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,-12.775,Negative
5,Burbank,Sterile,B1,M,Sterile,B1_2,1,B1_2_1,none,1,1,NA,28.97,NA,28.97,NA,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,-14.98,Negative
708,Burbank,Winterfell,B2,M,B2_5,B2_3,5,B2_3_5,P,tube,NA,NA,33.15,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-17.9725,Negative
74,Snowden,Winterfell,S2,M,Winterfell,S2_6,1,S2_6_1,none,C2,1,NA,46.57,12.94,59.51,NA,Y,NA,NA,NA,NA,NA,NO PLANT,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-18.18,Negative
535,Ranger,Winterfell,R2,M,R2_2,R2_4,4,R2_4_4,P,C4,2,NA,0,0,0,NA,,NA,NA,NA,NA,NA,,Ranger_Sterile_S,Sterile,S,29.9125,4,2.263774043,-29.9125,Negative
60,Papa Cacho,Sterile,PC2,C,Sterile,PC2_2,1,PC2_2_1,none,,1,4.44,0,NA,4.44,NA,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-31.86,Negative
61,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_1,1,PC2_1_1,none,D4,1,NA,0,17.65,17.65,NA,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-31.86,Negative
