,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Submission_ID,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,Biomass_NonTuber,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Type_Response
363,Burbank,Sterile,B1,M,Sterile,B1_4,3,B1_4_3,S,D4,2,4.17,39.25,11.37,54.79,15.54,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,0,Neutral
42,Huagalina,Winterfell,H2,A,Winterfell,H2_5,1,H2_5_1,none,F10,1,3.01,31.45,12.54,47,15.55,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-3.843333333,Negative
685,Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_1,5,PC2_1_5,N,B1,2,3.57,43.47,12.16,59.2,15.73,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,38.6075,4,6.519342215,4.8625,Positive
23,G.Chili,Hancock,GC1,C,Hancock,GC1_3,1,GC1_3_1,none,A6,1,2.59,50.65,13.2,66.44,15.79,Y,NA,NA,NA,NA,NA,NO TUBER,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,15.95,Positive
336,Papa Cacho,Sterile,PC1,C,Sterile,PC1_9,3,PC1_9_3,S,A11,1,2.89,3.69,13.02,19.6,15.91,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-8.7,Negative
29,G.Chili,Winterfell,GC2,C,Winterfell,GC2_1,1,GC2_1_1,none,B3,1,2.7,61.09,13.27,77.06,15.97,Y,NA,NA,NA,NA,NA,NO TUBER/AG?,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,26.39,Positive
37,Huagalina,Sterile,H1,A,Sterile,H1_2,1,H1_2_1,none,G6,1,3.74,35.77,12.24,51.75,15.98,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,0.476666667,Positive
32,G.Chili,Winterfell,GC2,C,Winterfell,GC2_4,1,GC2_4_1,none,B4,1,3.14,60.67,13.03,76.84,16.17,Y,NA,NA,NA,NA,NA,NO PLANT,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,25.97,Positive
203,Papa Cacho,Sterile,PC2,C,Sterile,PC2_7,2,PC2_7_2,S,D7,2,4.94,0,11.49,16.43,16.43,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,21.985,4,13.74221264,-21.985,Negative
334,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_10,3,PC1_10_3,P,B11,1,2.91,0,13.54,16.45,16.45,,NA,NA,NA,NA,NA,NO TUBER,Papa Cacho_Sterile_S,Sterile,S,12.39,4,5.502213191,-12.39,Negative
26,G.Chili,Sterile,GC1,C,Sterile,GC1_1,1,GC1_1_1,none,A9,1,3.03,0,13.71,16.74,16.74,Y,NA,NA,NA,NA,NA,,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,-34.7,Negative
84,Wac 663,Hancock,WA1,A,Hancock,WA1_6,1,WA1_6_1,none,D9,1,1.8,14.78,15.1,31.68,16.9,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
25,G.Chili,Hancock,GC1,C,Hancock,GC1_6,1,GC1_6_1,none,B1,1,3.1,34.53,13.87,51.5,16.97,Y,NA,NA,NA,NA,NA,,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,-0.17,Negative
31,G.Chili,Winterfell,GC2,C,Winterfell,GC2_3,1,GC2_3_1,none,C11,1,2.2,40.83,14.79,57.82,16.99,Y,NA,NA,NA,NA,NA,,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,6.13,Positive
30,G.Chili,Winterfell,GC2,C,Winterfell,GC2_2,1,GC2_2_1,none,B2,1,3.92,28.91,13.1,45.93,17.02,Y,NA,NA,NA,NA,NA,NO TUBER,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,-5.79,Negative
12,Cor.C 95,Hancock,CC1,C,Hancock,CC1_2,1,CC1_2_1,none,E11,1,2.27,0,15.01,17.28,17.28,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
21,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_4,1,CC2_4_1,none,F2,1,2.77,0,14.56,17.33,17.33,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
59,Papa Cacho,Sterile,PC1,C,Sterile,PC1_4,1,PC1_4_1,none,E8,1,6.46,53.19,10.9,70.55,17.36,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,21.33,Positive
39,Huagalina,Winterfell,H2,A,Winterfell,H2_1,1,H2_1_1,none,G3,1,1.87,27.74,15.63,45.24,17.5,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-7.553333333,Negative
8,Burbank,Winterfell,B2,M,Winterfell,B2_3,1,B2_3_1,none,D12,1,3.61,103.32,14.09,121.02,17.7,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,59.37,Positive
605,G.Chili,Hancock,GC1,C,GC1_10,GC1_10,5,GC1_10_5,N,D10,1,2.87,21.66,14.97,39.5,17.84,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,49.015,4,2.460997427,-27.355,Negative
204,Papa Cacho,Winterfell,PC2,C,PC2_1,PC2_1,2,PC2_1_2,N,D1,2,2.26,1.91,15.7,19.87,17.96,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,21.985,4,13.74221264,-20.075,Negative
1,Burbank,Hancock,B1,M,Hancock,B1_1,1,B1_1_1,none,E2,1,4.66,10.64,14.01,29.31,18.67,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,-33.31,Negative
7,Burbank,Winterfell,B2,M,Winterfell,B2_1,1,B2_1_1,none,E6,1,4.01,37.11,14.68,55.8,18.69,Y,NA,NA,NA,NA,NA,NO PLANT,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,-6.84,Negative
35,Huagalina,Hancock,H1,A,Hancock,H1_6,1,H1_6_1,none,G4,1,2.41,1.27,16.3,19.98,18.71,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-34.02333333,Negative
3,Burbank,Hancock,B1,M,Hancock,B1_5,1,B1_5_1,none,D11,1,6.69,57.47,12.05,76.21,18.74,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,13.52,Positive
4,Burbank,Hancock,B1,M,Hancock,B1_6,1,B1_6_1,none,D11,1,5.99,73.5,13.33,92.82,19.32,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,29.55,Positive
63,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_4,1,PC2_4_1,none,D7,1,3.8,41.42,15.62,60.84,19.42,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,9.56,Positive
78,Wac 5,Winterfell,W2,A,Winterfell,W2_2,1,W2_2_1,none,A11,1,7.55,21.47,11.88,40.9,19.43,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
85,Wac 663,Winterfell,WA2,A,Winterfell,WA2_2,1,WA2_2_1,none,D2,1,4.9,2.69,14.55,22.14,19.45,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
14,Cor.C 95,Hancock,CC1,C,Hancock,CC1_6,1,CC1_6_1,none,F8,1,3.47,0,16.5,19.97,19.97,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
2,Burbank,Hancock,B1,M,Hancock,B1_4,1,B1_4_1,none,E3,1,5.49,49.7,14.89,70.08,20.38,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,5.75,Positive
24,G.Chili,Hancock,GC1,C,Hancock,GC1_4,1,GC1_4_1,none,A7,1,3.19,10.81,17.49,31.49,20.68,Y,NA,NA,NA,NA,NA,NO TUBER,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,-23.89,Negative
19,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_2,1,CC2_2_1,none,F5,1,3.21,0,17.55,20.76,20.76,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
22,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_6,1,CC2_6_1,none,F3,1,4.77,0,16,20.77,20.77,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
58,Papa Cacho,Sterile,PC1,C,Sterile,PC1_3,1,PC1_3_1,none,E4,1,8.77,42.39,12.06,63.22,20.83,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,10.53,Positive
40,Huagalina,Winterfell,H2,A,Winterfell,H2_3,1,H2_3_1,none,,1,4.38,40.67,17.08,62.13,21.46,,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,5.376666667,Positive
62,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_3,1,PC2_3_1,none,D3,1,5.14,42.42,17.68,65.24,22.82,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,10.56,Positive
79,Wac 5,Winterfell,W2,A,Winterfell,W2_3,1,W2_3_1,none,A12,1,11.46,13.69,12.18,37.33,23.64,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
18,Cor.C 95,Sterile,CC2,C,Sterile,CC2_5,1,CC2_5_1,none,E12,1,3.27,0,20.72,23.99,23.99,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
17,Cor.C 95,Sterile,CC2,C,Sterile,CC2_1,1,CC2_1_1,none,F4,1,3.98,0,20.04,24.02,24.02,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
20,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_3,1,CC2_3_1,none,F7,1,3.53,0,20.89,24.42,24.42,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
16,Cor.C 95,Sterile,CC1,C,Sterile,CC1_5,1,CC1_5_1,none,F11,1,4.59,0,22.12,26.71,26.71,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
15,Cor.C 95,Sterile,CC1,C,Sterile,CC1_3,1,CC1_3_1,none,F1,1,4.35,0,22.54,26.89,26.89,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
56,Papa Cacho,Hancock,PC1,C,Hancock,PC1_5,1,PC1_5_1,none,D6,1,9.39,45.11,17.95,72.45,27.34,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,13.25,Positive
13,Cor.C 95,Hancock,CC1,C,Hancock,CC1_4,1,CC1_4_1,none,F12,1,5.77,0,23.82,29.59,29.59,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,Neutral
54,Papa Cacho,Hancock,PC1,C,Hancock,PC1_1,1,PC1_1_1,none,E9,1,15.11,0,20.45,35.56,35.56,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-31.86,Negative
55,Papa Cacho,Hancock,PC1,C,Hancock,PC1_2,1,PC1_2_1,none,E1,1,15.68,21.53,21.99,59.2,37.67,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-10.33,Negative
77,Wac 5,Hancock,W1,A,Hancock,W1_6,1,W1_6_1,none,?,1,NA,42.38,NA,42.38,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
80,Wac 5,Winterfell,W2,A,Winterfell,W2_5,1,W2_5_1,none,A4,1,2.92;9.46,27.75,12.91,40.66,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
81,Wac 5,Winterfell,W2,A,Winterfell,W2_6,1,W2_6_1,none,A3,1,2.92;3.18,1.78,13.13,14.91,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
83,Wac 663,Hancock,WA1,A,Hancock,WA1_4,1,WA1_4_1,none,B10,1,NA,4.43,NA,4.43,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
257,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_5,2,PC1_5_2,P,B5,3,0.28,60.35,NA,60.63,NA,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,21.985,4,13.74221264,38.365,Positive
255,Papa Cacho,Hancock,PC1,C,PC1_5,PC1_8,2,PC1_8_2,P,B8,3,0.73,45.39,NA,46.12,NA,,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_S,Sterile,S,21.985,4,13.74221264,23.405,Positive
149,Norkodah,Winterfell,N2,M,R2_3,R2_9,2,R2_9_2,N,E9,1,NA,64.11,2.22,66.33,NA,,NA,NA,NA,NA,NA,,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,18.805,Positive
75,Wac 5,Hancock,W1,A,Hancock,W1_2,1,W1_2_1,none,?,1,NA,5.53,12.08,17.61,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
76,Wac 5,Hancock,W1,A,Hancock,W1_4,1,W1_4_1,none,?,1,NA,4.43,12.15,16.58,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
192,Burbank,Winterfell,B2,M,B2_6,B2_5,2,B2_5_2,P,B5,2,NA,83.7,3.43,87.13,NA,,NA,NA,NA,NA,NA,NO PLANT,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,37.765,Positive
64,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_5,1,PC2_5_1,none,D5,1,NA,64.23,17.71,81.94,NA,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,32.37,Positive
187,Burbank,Winterfell,B2,M,B2_3,B2_3,2,B2_3_2,N,B3,2,NA,72.55,2.46,75.01,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,26.615,Positive
184,Burbank,Sterile,B2,M,Sterile,B2_4,2,B2_4_2,S,B4,2,NA,67.1,2.77,69.87,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,21.165,Positive
189,Burbank,Winterfell,B2,M,B2_6,B2_8,2,B2_8_2,P,B8,2,NA,64.81,2.31,67.12,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,18.875,Positive
191,Burbank,Winterfell,B2,M,B2_6,B2_10,2,B2_10_2,P,B10,2,NA,64.55,2.85,67.4,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,45.935,4,7.415675402,18.615,Positive
707,Burbank,Winterfell,B2,M,B2_4,B2_9,5,B2_9_5,N,tube,NA,,62.69,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,11.5675,Positive
706,Burbank,Winterfell,B2,M,B2_4,B2_7,5,B2_7_5,N,tube,NA,NA,59.79,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,8.6675,Positive
247,Norkodah,Hancock,N1,M,R1_6,R1_9,2,R1_9_2,P,A9,3,0.07,53.95,NA,54.02,NA,,NA,NA,NA,NA,NA,NO PLANT,Norkodah_Sterile_S,Sterile,S,45.305,4,2.727460663,8.645,Positive
702,Burbank,Sterile,B2,M,Sterile,B2_2,5,B2_2_5,S,tube,NA,NA,58.04,NA,NA,NA,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,6.9175,Positive
610,G.Chili,Sterile,GC1,C,Sterile,GC1_4,5,GC1_4_5,S,D4,1,0.89,55.92,NA,56.81,NA,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,49.015,4,2.460997427,6.905,Positive
