,Row.names,Genotype,Soil_type.x,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection.x,Plate.Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA.Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes,combo_line,Soil_type.y,Selection.y,avg,n,se,Response,Chao1,se.chao1,Shannon,Simpson
231,S2_5_5,Snowden,Winterfell,S2,M,S2_10,S2_5,5,Negative,Tube,NA,1.23,45.31,4.77,51.31,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,0.195,407,2.885994686,5.321509752,0.991970953
233,S2_6_5,Snowden,Winterfell,S2,M,S2_10,S2_6,5,Negative,Tube,NA,0.87,41.19,2.63,44.69,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,-3.925,562.1428571,0.486975788,5.606716681,0.993143322
236,S2_8_3,Snowden,Winterfell,S2,M,S2_2,S2_8,3,Negative,E8,2,2.08,10.98,4.72,17.78,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,33.28,2,3.66,-22.3,197,0.124682337,4.532454299,0.980469524
237,S2_8_5,Snowden,Winterfell,S2,M,S2_10,S2_8,5,Negative,Tube,NA,0.88,43.64,4.33,48.85,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,45.115,4,7.271561616,-1.475,469,0.166488889,5.36517536,0.990535497
238,S2_9_3,Snowden,Winterfell,S2,M,S2_2,S2_9,3,Negative,E9,2,1.92,18.87,4.57,25.36,,NA,NA,NA,NA,NA,,Snowden_Sterile_S,Sterile,S,33.28,2,3.66,-14.41,169,0,4.599164703,0.982536336
239,W1_1_3,Wac 5,Hancock,W1,A,W1_8,W1_1,3,Negative,H1,2,0.82,18.1,3.4,22.32,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,6.44,268,0.083177715,4.868161266,0.985242086
244,W1_4_4,Wac 5,Hancock,W1,A,W1_8,W1_4,4,Negative,d4,1,0.61,7.35,3.75,11.71,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,1.52,2,1.35,5.83,301.1666667,0.543506348,4.970630232,0.987792577
246,W1_5_3,Wac 5,Hancock,W1,A,W1_8,W1_5,3,Negative,H5,2,2.68,11.88,3.14,17.7,,NA,NA,NA,NA,NA,NO TUBER,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,0.22,155,0,4.555487712,0.984070929
247,W1_6_5,Wac 5,Hancock,W1,A,W1_4,W1_6,5,Negative,A6,1,0.82,24.65,4.36,29.83,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,30.36,2,0.42,-5.71,135,0.498144706,4.102563322,0.966406671
248,W1_8_2,Wac 5,Hancock,W1,A,W1_2,W1_8,2,Negative,D8,1,1.68,1.01,5.24,7.93,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,29.145,4,9.076069726,-28.135,206.3333333,4.127244247,4.864175989,0.988972257
249,W1_8_3,Wac 5,Hancock,W1,A,W1_8,W1_8,3,Negative,H8,2,0.56,21.93,4.02,26.51,,NA,NA,NA,NA,NA,NO TUBER,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,10.27,147,0,4.419296629,0.981718348
252,W1_9_3,Wac 5,Hancock,W1,A,W1_8,W1_9,3,Negative,H9,2,1.73,7.11,7.43,16.27,,NA,NA,NA,NA,NA,NO TUBER,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,-4.55,147.25,0.73641398,4.451545015,0.983485463
254,W2_1_4,Wac 5,Winterfell,W2,A,W2_10,W2_1,4,Negative,E1,2,0.54,1.48,4.2,6.22,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,1.52,2,1.35,-0.04,100,0,4.247672192,0.982116147
255,W2_10_2,Wac 5,Winterfell,W2,A,W2_6,W2_10,2,Negative,E10,1,2.25,35.68,2.81,40.74,,NA,NA,NA,NA,NA,,Wac 5_Sterile_S,Sterile,S,29.145,4,9.076069726,6.535,154,0.08306233,4.283395776,0.970326215
256,W2_10_3,Wac 5,Winterfell,W2,A,W2_10,W2_10,3,Negative,A10,2,0.38,3.01,2.24,5.63,,NA,NA,NA,NA,NA,NO TUBER,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,-8.65,262,0.499044889,4.972253625,0.98644886
258,W2_3_3,Wac 5,Winterfell,W2,A,W2_10,W2_3,3,Negative,A3,2,0.95,0.37,5.1,6.42,,NA,NA,NA,NA,NA,NO TUBER,Wac 5_Sterile_S,Sterile,S,11.66,2,5.52,-11.29,203,0.249383476,4.813500556,0.988236822
262,WA1_1_2,Wac 663,Hancock,WA1,A,WA1_2,WA1_1,2,Negative,H1,2,0.75,24.31,3.04,28.1,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,19.12,4,2.464829271,5.19,80,0,4.051043783,0.978504594
264,WA1_10_4,Wac 663,Hancock,WA1,A,WA1_6,WA1_10,4,Negative,B10,1,0.15,0,3.24,3.39,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,3.89,4,1.339981343,-3.89,295.3333333,0.925935122,4.847018911,0.985805892
266,WA1_2_5,Wac 663,Hancock,WA1,A,WA1_10,WA1_2,5,Negative,H2,1,0.62,17.37,4.32,22.31,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,6.21,4,0.909789353,11.16,237,0.124736008,4.760002982,0.985116643
267,WA1_3_3,Wac 663,Hancock,WA1,A,WA1_1,WA1_3,3,Negative,C3,2,0.69,6.36,3.63,10.68,,NA,NA,NA,NA,NA,NO TUBER,Wac 663_Sterile_S,Sterile,S,4.125,2,1.655,2.235,290,0.124784297,5.067054862,0.99001314
268,WA1_3_5,Wac 663,Hancock,WA1,A,WA1_10,WA1_3,5,Negative,H3,1,0.27,8.72,3.39,12.38,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,6.21,4,0.909789353,2.51,145,0,4.418558174,0.979968249
275,WA2_2_5,Wac 663,Winterfell,WA2,A,WA2_8,WA2_2,5,Negative,F2,1,0.32,0,4,4.32,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,6.21,4,0.909789353,-6.21,73,0,3.802868545,0.966663135
276,WA2_3_2,Wac 663,Winterfell,WA2,A,WA2_4,WA2_3,2,Negative,F3,2,0.62,12.48,3.05,16.15,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,19.12,4,2.464829271,-6.64,264,0,4.705697597,0.982771128
279,WA2_5_3,Wac 663,Winterfell,WA2,A,WA2_3,WA2_5,3,Negative,F5,2,2.14,0.45,9.43,12.02,,NA,NA,NA,NA,NA,NO PLANT,Wac 663_Sterile_S,Sterile,S,4.125,2,1.655,-3.675,148,0,4.453568104,0.981888424
280,WA2_5_5,Wac 663,Winterfell,WA2,A,WA2_8,WA2_5,5,Negative,F5,1,0.26,12.24,3.52,16.02,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,6.21,4,0.909789353,6.03,167,0,4.162138551,0.972605291
281,WA2_6_5,Wac 663,Winterfell,WA2,A,WA2_8,WA2_6,5,Negative,F6,1,0.18,5.52,7.76,13.46,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,6.21,4,0.909789353,-0.69,171,0,4.074680782,0.965429948
282,WA2_7_3,Wac 663,Winterfell,WA2,A,WA2_3,WA2_7,3,Negative,F7,2,0.35,1.14,4.62,6.11,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,4.125,2,1.655,-2.985,139,0,4.18446329,0.970686655
284,WA2_8_4,Wac 663,Winterfell,WA2,A,WA2_3,WA2_8,4,Negative,B8,2,0.04,0,2.58,2.62,,NA,NA,NA,NA,NA,,Wac 663_Sterile_S,Sterile,S,3.89,4,1.339981343,-3.89,221,0.166289165,4.707749139,0.98188494
1,B1_1_1,Burbank,Hancock,B1,M,Hancock,B1_1,1,None,E2,1,4.66,10.64,14.01,29.31,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,-33.31,79,0,4.040490782,0.978120553
9,B1_4_1,Burbank,Hancock,B1,M,Hancock,B1_4,1,None,E3,1,5.49,49.7,14.89,70.08,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,5.75,137,0,4.546601451,0.985134578
11,B1_5_1,Burbank,Hancock,B1,M,Hancock,B1_5,1,None,D11,1,6.69,57.47,12.05,76.21,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,13.52,202.5,1.297968498,4.815538236,0.987837972
13,B1_6_1,Burbank,Hancock,B1,M,Hancock,B1_6,1,None,D11,1,5.99,73.5,13.33,92.82,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,29.55,238,0,4.928956932,0.988113061
19,B2_1_1,Burbank,Winterfell,B2,M,Winterfell,B2_1,1,None,E6,1,4.01,37.11,14.68,55.8,Y,NA,NA,NA,NA,NA,NO PLANT,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,-6.84,66,0,3.9288316,0.976713761
20,B2_3_1,Burbank,Winterfell,B2,M,Winterfell,B2_3,1,None,D12,1,3.61,103.32,14.09,121.02,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,59.37,250,0.124749749,5.040589349,0.990558846
26,B2_6_1,Burbank,Winterfell,B2,M,Winterfell,B2_6,1,None,E5,1,,45.93,14.95,60.88,Y,NA,NA,NA,NA,NA,,Burbank_Sterile_none,Sterile,none,43.95,2,14.98,1.98,147,0,4.335722587,0.978023983
29,CC1_1_1,Cor.C 95,Hancock,CC1,C,Hancock,CC1_1,1,None,G2,1,3.83,0,10.5,14.33,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,61,0,3.624751927,0.955229162
33,CC1_2_1,Cor.C 95,Hancock,CC1,C,Hancock,CC1_2,1,None,E11,1,2.27,0,15.01,17.28,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,226,0,4.927204959,0.989061669
37,CC1_4_1,Cor.C 95,Hancock,CC1,C,Hancock,CC1_4,1,None,F12,1,5.77,0,23.82,29.59,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,164,0,4.49701229,0.981613488
43,CC1_6_1,Cor.C 95,Hancock,CC1,C,Hancock,CC1_6,1,None,F8,1,3.47,0,16.5,19.97,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,194,0,4.729204892,0.985304065
53,CC2_2_1,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_2,1,None,F5,1,3.21,0,17.55,20.76,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,184,0,4.82397322,0.989579677
56,CC2_3_1,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_3,1,None,F7,1,3.53,0,20.89,24.42,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,226,0.166297526,4.694444987,0.984666231
59,CC2_4_1,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_4,1,None,F2,1,2.77,0,14.56,17.33,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,143,0,4.38879476,0.979489182
65,CC2_6_1,Cor.C 95,Winterfell,CC2,C,Winterfell,CC2_6,1,None,F3,1,4.77,0,16,20.77,Y,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_none,Sterile,none,0,4,0,0,249,0.124748743,4.829529697,0.985433079
81,GC1_6_1,G.Chili,Hancock,GC1,C,Hancock,GC1_6,1,None,B1,1,3.1,34.53,13.87,51.5,Y,NA,NA,NA,NA,NA,,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,-0.17,278,0.099819982,5.158709347,0.991403312
87,GC2_1_1,G.Chili,Winterfell,GC2,C,Winterfell,GC2_1,1,None,B3,1,2.7,61.09,13.27,77.06,Y,NA,NA,NA,NA,NA,NO TUBER/AG?,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,26.39,207.25,0.73654433,4.926608936,0.989772332
89,GC2_2_1,G.Chili,Winterfell,GC2,C,Winterfell,GC2_2,1,None,B2,1,3.92,28.91,13.1,45.93,Y,NA,NA,NA,NA,NA,NO TUBER,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,-5.79,456,0.062431432,5.483566008,0.992499249
91,GC2_3_1,G.Chili,Winterfell,GC2,C,Winterfell,GC2_3,1,None,C11,1,2.2,40.83,14.79,57.82,Y,NA,NA,NA,NA,NA,,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,6.13,253,0,4.968874694,0.988721131
92,GC2_4_1,G.Chili,Winterfell,GC2,C,Winterfell,GC2_4,1,None,B4,1,3.14,60.67,13.03,76.84,Y,NA,NA,NA,NA,NA,NO PLANT,G.Chili_Sterile_none,Sterile,none,34.7,3,19.59924828,25.97,209,0.062350299,4.541999271,0.97655876
106,H1_4_1,Huagalina,Hancock,H1,A,Hancock,H1_4,1,None,G5,1,2.81,22.01,12.23,37.05,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-13.28333333,189,0,4.737500052,0.987194569
109,H1_5_1,Huagalina,Hancock,H1,A,Hancock,H1_5,1,None,G1,1,2.63,42.51,11.75,56.89,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,7.216666667,60,0,3.881476022,0.976350761
112,H1_6_1,Huagalina,Hancock,H1,A,Hancock,H1_6,1,None,G4,1,2.41,1.27,16.3,19.98,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-34.02333333,109,0,4.288182576,0.981159946
121,H2_1_1,Huagalina,Winterfell,H2,A,Winterfell,H2_1,1,None,G3,1,1.87,27.74,15.63,45.24,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-7.553333333,201,0,4.940883276,0.990613136
131,H2_5_1,Huagalina,Winterfell,H2,A,Winterfell,H2_5,1,None,F10,1,3.01,31.45,12.54,47,Y,NA,NA,NA,NA,NA,,Huagalina_Sterile_none,Sterile,none,35.29333333,3,4.287681321,-3.843333333,165,0,4.454002415,0.978062838
136,N1_3_1,Norkodah,Hancock,N1,M,Hancock,N1_3,1,None,B6,1,2.43,3.37,6.39,12.19,Y,NA,NA,NA,NA,NA,NO PLANT,Norkodah_Sterile_none,Sterile,none,14.20666667,3,7.321132274,-10.83666667,244.2,1.84084836,4.882931598,0.987630009
137,N2_3_1,Norkodah,Winterfell,N2,M,Winterfell,N2_3,1,None,C1,1,1.05,2.77,5.57,9.39,Y,NA,NA,NA,NA,NA,,Norkodah_Sterile_none,Sterile,none,14.20666667,3,7.321132274,-11.43666667,593.5,4.107659616,5.835716722,0.995211991
138,N2_5_1,Norkodah,Winterfell,N2,M,Winterfell,N2_5,1,None,B11,1,1.6,9.92,8.02,19.54,Y,NA,NA,NA,NA,NA,,Norkodah_Sterile_none,Sterile,none,14.20666667,3,7.321132274,-4.286666667,477.6,1.18626753,5.402838032,0.988756521
139,PC1_1_1,Papa Cacho,Hancock,PC1,C,Hancock,PC1_1,1,None,E9,1,15.11,0,20.45,35.56,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-31.86,187,0,4.559562396,0.982439769
143,PC1_2_1,Papa Cacho,Hancock,PC1,C,Hancock,PC1_2,1,None,E1,1,15.68,21.53,21.99,59.2,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-10.33,66,0,3.685902644,0.962432679
147,PC1_5_1,Papa Cacho,Hancock,PC1,C,Hancock,PC1_5,1,None,D6,1,9.39,45.11,17.95,72.45,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,13.25,247,1.817345328,5.045585967,0.990708148
158,PC2_1_1,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_1,1,None,D4,1,,0,17.65,17.65,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,-31.86,191,0,4.768272095,0.988095836
164,PC2_3_1,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_3,1,None,D3,1,5.14,42.42,17.68,65.24,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,10.56,220,0.249431171,4.71672812,0.985108997
166,PC2_4_1,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_4,1,None,D7,1,3.8,41.42,15.62,60.84,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,9.56,179,0,4.760271381,0.988382636
169,PC2_5_1,Papa Cacho,Winterfell,PC2,C,Winterfell,PC2_5,1,None,D5,1,,64.23,17.71,81.94,Y,NA,NA,NA,NA,NA,,Papa Cacho_Sterile_none,Sterile,none,31.86,3,16.23221796,32.37,298,0.099832074,5.087016878,0.988632205
212,S1_3_1,Snowden,Hancock,S1,M,Hancock,S1_3,1,None,C7,1,2.92,84.18,10.74,97.84,Y,NA,NA,NA,NA,NA,,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,19.43,210,0.124702026,4.829529141,0.987528538
214,S1_4_1,Snowden,Hancock,S1,M,Hancock,S1_4,1,None,C3,1,5.79,51.47,8.54,65.8,Y,NA,NA,NA,NA,NA,,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-13.28,143,0,4.541030355,0.984277444
216,S1_5_1,Snowden,Hancock,S1,M,Hancock,S1_5,1,None,C8,1,1.5,78.99,12.65,93.14,Y,NA,NA,NA,NA,NA,NO TUBER,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,14.24,275,0.16636336,4.908852786,0.986282494
218,S1_6_1,Snowden,Hancock,S1,M,Hancock,S1_6,1,None,C6,1,1.35,68.22,8.93,78.5,Y,NA,NA,NA,NA,NA,NO TUBER,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,3.47,254,0.249507389,5.071279727,0.990252107
222,S2_1_1,Snowden,Winterfell,S2,M,Winterfell,S2_1,1,None,C9,1,,57.54,7.33,64.87,Y,NA,NA,NA,NA,NA,NO TUBER,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-7.21,215.5,1.298033047,4.846113375,0.988627726
228,S2_3_1,Snowden,Winterfell,S2,M,Winterfell,S2_3,1,None,C12,1,2.32,61.93,12.07,76.32,Y,NA,NA,NA,NA,NA,NO TUBER,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-2.82,180,0,4.523322864,0.980855129
232,S2_6_1,Snowden,Winterfell,S2,M,Winterfell,S2_6,1,None,C2,1,,46.57,12.94,59.51,Y,NA,NA,NA,NA,NA,NO PLANT,Snowden_Sterile_none,Sterile,none,64.75,2,3.53,-18.18,88,0,4.131281455,0.980285515
2,B1_1_3,Burbank,Hancock,B1,M,B1_5,B1_1,3,Positive,D1,2,1.99,6.03,7.25,15.27,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-33.22,356,0.099859452,4.438431824,0.955538852
5,B1_2_4,Burbank,Hancock,B1,M,B1_6,B1_2,4,Positive,G2,2,0.3,33.08,1.54,34.92,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,24.815,4,6.683149831,8.265,97,0,4.297040833,0.983277782
6,B1_2_5,Burbank,Hancock,B1,M,B1_2,B1_2,5,Positive,tube,NA,1.59,51.37,7.13,60.09,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,0.2475,90,0,4.109443198,0.978830079
8,B1_3_5,Burbank,Hancock,B1,M,B1_2,B1_3,5,Positive,tube,NA,1.25,35.21,8.47,44.93,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-15.9125,372,2.885923485,5.100765436,0.988751637
12,B1_5_3,Burbank,Hancock,B1,M,B1_5,B1_5,3,Positive,D5,2,2.86,23.12,7.89,33.87,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-16.13,315,0.099841144,4.75843065,0.981142874
14,B1_6_3,Burbank,Hancock,B1,M,B1_5,B1_6,3,Positive,D6,2,2.19,28.14,7.98,38.31,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-11.11,237,0.124736008,4.740558903,0.981186098
17,B1_7_5,Burbank,Hancock,B1,M,B1_2,B1_7,5,Positive,tube,NA,0.99,47.25,4.95,53.19,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,51.1225,4,3.651863394,-3.8725,307,4.180866142,4.739100471,0.979873564
18,B1_9_3,Burbank,Hancock,B1,M,B1_5,B1_9,3,Positive,D9,2,3.06,22.15,7.95,33.16,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-17.1,185,0,4.800186992,0.988450344
21,B2_3_3,Burbank,Winterfell,B2,M,B2_5,B2_3,3,Positive,E11,1,2.08,7.3,8.52,17.9,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-31.95,555,0,5.617115025,0.992585898
22,B2_4_3,Burbank,Winterfell,B2,M,B2_5,B2_4,3,Positive,D11,1,2.3,21.81,10.1,34.21,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,39.25,1,NA,-17.44,394,0,5.296747371,0.991137436
25,B2_5_4,Burbank,Winterfell,B2,M,B2_6,B2_5,4,Positive,D5,2,0.83,39.03,3.29,43.15,,NA,NA,NA,NA,NA,,Burbank_Sterile_S,Sterile,S,24.815,4,6.683149831,14.215,210.2,1.840774668,4.843403017,0.988781194
30,CC1_1_3,Cor.C 95,Hancock,CC1,C,CC1_9,CC1_1,3,Positive,A11,1,2.54,0,5.13,7.67,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,122,0.248973302,4.19029249,0.970487399
32,CC1_10_3,Cor.C 95,Hancock,CC1,C,CC1_9,CC1_10,3,Positive,A10,1,0.99,0,5.07,6.06,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,127,0,4.149472666,0.96908259
34,CC1_2_5,Cor.C 95,Hancock,CC1,C,CC1_4,CC1_2,5,Positive,G2,1,3.28,0,9.03,12.31,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,100,0.099498744,4.112326627,0.976981612
35,CC1_3_3,Cor.C 95,Hancock,CC1,C,CC1_9,CC1_3,3,Positive,A3,1,1.51,0,3.87,5.38,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,187,0,4.68755366,0.983773055
39,CC1_4_4,Cor.C 95,Hancock,CC1,C,CC1_1,CC1_4,4,Positive,F4,1,0.45,23.54,1.86,25.85,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.9725,4,8.782117602,8.5675,142,0,4.391996265,0.980830335
46,CC1_7_5,Cor.C 95,Hancock,CC1,C,CC1_4,CC1_7,5,Positive,G7,1,1.44,0.03,5.87,7.34,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.20666667,146,0,4.293462069,0.977103683
47,CC1_8_5,Cor.C 95,Hancock,CC1,C,CC1_4,CC1_8,5,Positive,G8,1,2.18,7.41,8.11,17.7,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-6.826666667,110,0,4.32181468,0.981202926
48,CC1_9_3,Cor.C 95,Hancock,CC1,C,CC1_9,CC1_9,3,Positive,A9,1,0.58,0,4.5,5.08,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,243.3333333,0.925857938,4.967710814,0.989400489
49,CC1_9_5,Cor.C 95,Hancock,CC1,C,CC1_4,CC1_9,5,Positive,G9,1,2.42,0,10.73,13.15,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,145,0,4.425300689,0.982055408
50,CC2_1_5,Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_1,5,Positive,C1,1,2.39,0,10.18,12.57,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,160,0.249217525,4.348234979,0.978319617
54,CC2_2_3,Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_2,3,Positive,D2,1,1.62,0,9.77,11.39,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,201,0.124688667,4.838354407,0.987715795
55,CC2_2_4,Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_2,4,Positive,F2,2,0.42,19.11,1.75,21.28,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.9725,4,8.782117602,4.1375,291.75,1.42346733,4.917376391,0.985932839
60,CC2_4_3,Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_4,3,Positive,D4,1,1.05,0,3.85,4.9,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,211,0.099762752,4.86279307,0.988955827
62,CC2_4_5,Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_4,5,Positive,C4,1,1.57,0,10.13,11.7,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.23666667,143,0.249124341,3.375483216,0.900603628
64,CC2_5_5,Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_5,5,Positive,C5,1,1.04,0.03,6.12,7.19,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-14.20666667,138,0,4.120816029,0.972392877
67,CC2_7_3,Cor.C 95,Winterfell,CC2,C,CC2_10,CC2_7,3,Positive,D7,1,1.82,0,5.36,7.18,,NA,NA,NA,NA,NA,NO TUBER,Cor.C 95_Sterile_S,Sterile,S,0,4,0,0,86,0,4.137727069,0.980382625
68,CC2_7_5,Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_7,5,Positive,C7,1,1.05,4.42,4.38,9.85,,NA,NA,NA,NA,NA,,Cor.C 95_Sterile_S,Sterile,S,14.23666667,3,2.72259884,-9.816666667,68,0,3.74048746,0.968509955
71,GC1_1_3,G.Chili,Hancock,GC1,C,GC1_3,GC1_1,3,Positive,E1,1,1.23,24.55,6.76,32.54,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-16.4725,110,0,4.264486634,0.981450951
73,GC1_10_3,G.Chili,Hancock,GC1,C,GC1_3,GC1_10,3,Positive,E10,1,1.21,39.82,6.77,47.8,,NA,NA,NA,NA,NA,,G.Chili_Sterile_S,Sterile,S,41.0225,4,8.99979016,-1.2025,100,0,3.733740655,0.949869352
