#OTUID	taxonomy	confidence
00e5239139a8eccf00cf1911fdbd185d	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured	0.8843181817824025
00ee2de978fadece0e054d86bb75d3f1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9818886435366103
00ee2ff5bf24bb2eda76d813e5534fe4	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.9999740445780981
00eeea8780d2ae907ce65ef072eeb2ef	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__uncultured; g__uncultured	0.9878250578513372
00f82b2aefe4a8d0f714407120bfb50d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia; s__metagenome	0.748771284692024
00fa990324a8b062094dd7c950c510a2	d__Bacteria	0.9802542454845544
00fba913182c17f6731f0a60f0248c84	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__Neochlamydia	0.7421382718683915
00fbde23338ade62de800cee2e1e9450	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae	0.749080315445191
00fd1455114d9b460b2822f048bbe1a4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	0.9897332554275549
0101e27cb5d2ac19caff95359c9cbfdc	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20	0.9999999926300099
01078e6c0e65fba90db05a5e0e6148fc	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0.9944393754895577
0109b5775065dfabf36538619229f9f5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia	0.9872760781450745
010d6d4053527519a7745f4fda372458	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae	0.9990054934939606
011421e3e3b2f5323a8fd1120bf50ef7	d__Bacteria	0.9961488241880948
0114ec094af7e621e650b8da82d56d0b	d__Bacteria	0.9359679299927376
01171ae56c7cdbb22a9b0e22bd0617b7	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter	0.9497065474002716
0118ea93c23e06de17931102a801eab9	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured	0.9554305086786399
0121a9fc6caca3082a1a62a34686fb12	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17	0.99991708883796
0122800f43b3e09f427302e931dfe39e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.7548300846978491
012b5b5e9c89f6e1c0026bd38959142a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9134373772689267
012e398da7933495154e4b6481930329	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella	0.9999958905841
0132db3412d54a69d32e3cac3b5468d0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus	0.9999700409009957
0135355c6116942c7d4a9258fb3fe656	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__A0839; g__A0839; s__metagenome	0.8846854329527922
0137601ee0c57d5a84ba0dfb5fe1a0e6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Moheibacter; s__Empedobacter_sp.	0.9703328276145494
0138f9409455d5ae407e4f3556833e48	d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__Lineage_IV; f__Lineage_IV; g__Lineage_IV	0.9999999053642032
013a3d9401aac9ef28895755cad726cf	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus	0.9866440840676887
013eae50d34ef50ebdc72c1efac97557	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20	0.9999998266304455
01424e5adfb833ea3530a8b6b758369f	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium	0.9997346041701237
01427fac7a51fccf761de9bef786193b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.9925723336277239
014a190c9d74372ca82e1981d719eee1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0.9987335160858024
014a2941780504f9b0dfcae51bb34470	d__Bacteria; p__Firmicutes; c__Bacilli; o__Entomoplasmatales; f__type_III; g__type_III; s__uncultured_Mollicutes	0.9999071919972834
014df6446d6fa017d6b47f0333dbe7f3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Dyadobacter; s__Dyadobacter_ginsengisoli	0.9957189298991085
015258ddcde0251024a4ecb2e9425124	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium	0.8743461546350146
015515ee89e9e1de3893c19b5efea446	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__Hansschlegelia	0.9956425040906004
0159cc46bd3d037b634004512cd3d926	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured; s__Sorangium_cellulosum	0.8784633263859444
016052ca802dc21652f57e6c0fb32145	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Rhodoplanes	0.7465778155866312
0161cd899474397308c80fe7b8cbeab0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Roseomonas; s__unidentified	0.7782913835664959
016ad5c0258b4a328df157772016e9df	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__Neochlamydia; s__metagenome	0.7271419049218653
016d39d12787eec0eeeb1aba58efc683	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9839096473380635
0170feefa872d7d9c6775e3f8383953b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus	0.956245365734901
017430439585aee7fb2153cffce68800	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Pontibacter; s__Pontibacter_populi	0.9915655555479547
017646aa064b206f9f0b15ecccd6f1df	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio	0.999522773946041
0189dc61aeca5bf850f8f3771298ce97	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__uncultured	0.9990282173503626
018a2918e98e728a1547b88fd88072c3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured	0.9887011525366072
019a6c8eff9910fd5315572a6ad10fa6	d__Bacteria; p__Gemmatimonadota; c__Longimicrobia; o__Longimicrobiales; f__Longimicrobiaceae; g__Longimicrobiaceae; s__uncultured_bacterium	0.9947228955077463
019ac5404416ee022880af28f2a3cb37	d__Bacteria; p__Gemmatimonadota; c__Longimicrobia; o__Longimicrobiales; f__Longimicrobiaceae; g__Longimicrobium; s__uncultured_Gemmatimonadetes	0.9905562061396395
01a3e409c65d05c9cc34de73019330d8	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Demequinaceae; g__Demequina	0.8387534267841589
