Genotype,Soil_type,Block,Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Cor.C 95,Winterfell,CC2,C,CC2_5,CC2_6,4,N,F6,2,0.37,8.7,1.83,10.9,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_5,CC2_7,4,N,F7,2,0.23,16.27,2.56,19.06,,,,,,,
Cor.C 95,Sterile,CC2,C,none,CC2_10,4,S,F10,2,0.73,0,6.62,7.35,,,,,,,
Cor.C 95,Sterile,CC1,C,none,CC1_2,4,S,F2,1,0.68,26.15,2.33,29.16,,,,,,,
Cor.C 95,Sterile,CC1,C,none,CC1_6,4,S,F6,1,0.52,33.74,3.03,37.29,,,,,,,
Cor.C 95,Sterile,CC2,C,none,CC2_9,4,S,F9,2,0.72,0,7.03,7.75,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_5,4,P,C5,1,0.11,0,1.04,1.15,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_6,4,P,C6,1,0.15,27.83,0.93,28.91,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_7,4,P,C7,1,0.23,45.32,0.88,46.43,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_8,4,P,C8,1,0.15,34.23,1.05,35.43,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_10,4,N,C10,1,0.06,26.6,1.04,27.7,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_3,4,N,C3,1,0.2,36.94,1.13,38.27,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_4,4,N,C4,1,,33.01,1.24,34.25,,,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_9,4,N,C9,1,0.1,29.5,0.73,30.33,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_4,GC2_1,4,N,A1,1,0.17,35.63,2.61,38.41,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_4,GC2_2,4,N,A2,1,0.11,20.02,1.49,21.62,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_4,GC2_5,4,N,A5,1,0.1,24.87,1.3,26.27,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_4,GC2_8,4,N,A8,1,0.18,46.72,2.85,49.75,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_4,4,P,A4,1,0.05,35.99,1.63,37.67,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_6,4,P,A6,1,0.23,34.89,1.77,36.89,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_7,4,P,A7,1,0.1,52.07,1.18,53.35,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_8,GC2_9,4,P,A9,1,0.08,43.38,0.6,44.06,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_3,4,S,A3,1,0.03,27.9,1.23,29.16,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_1,4,S,C1,1,0.08,43.95,1.07,45.1,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_2,4,S,C2,1,0.09,35.19,1.02,36.3,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_10,4,S,n/a,,NA,NA,NA,NA,,,,,,,
Huagalina,Hancock,H1,A,H1_10,H1_10,4,P,G10,1,0.6,0,3.2,3.8,,,,,,,
Huagalina,Hancock,H1,A,H1_10,H1_5,4,P,G5,1,1.93,0,3.71,5.64,,,,,,,
Huagalina,Hancock,H1,A,H1_10,H1_6,4,P,G6,1,0.87,0,1.8,2.67,,,,,,,
Huagalina,Hancock,H1,A,H1_10,H1_9,4,P,G9,1,0.82,0,2.45,3.27,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_1,4,N,G1,1,0.64,0,3.04,3.68,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_2,4,N,G2,1,0.82,16.95,2.58,20.35,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_3,4,N,G3,1,1.01,0,2.69,3.7,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_7,4,N,G7,1,0.38,0,2.45,2.83,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_2,4,N,H2,1,0.6,1.11,8.1,9.81,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_5,4,N,H5,1,,14.6,0.59,15.19,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_7,4,N,H7,1,0.44,4.61,3.67,8.72,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_8,4,N,H8,1,0.78,13.94,5.86,20.58,,,,,,,
Huagalina,Winterfell,H2,A,H2_9,H2_1,4,P,H1,1,1.72,11.85,6.72,20.29,,,,,,,
Huagalina,Winterfell,H2,A,H2_9,H2_10,4,P,H10,1,0.42,0.51,6.45,7.38,,,,,,,
Huagalina,Winterfell,H2,A,H2_9,H2_3,4,P,H3,1,0.85,0,7.15,8,,,,,,,
Huagalina,Winterfell,H2,A,H2_9,H2_4,4,P,H4,1,0.53,0,5.17,5.7,,,,,,,
Huagalina,Sterile,H1,A,none,H1_4,4,S,G4,1,0.79,4.52,2.27,7.58,,,,,,,
Huagalina,Sterile,H1,A,none,H1_8,4,S,G8,1,0.56,13.94,2.89,17.39,,,,,,,
Huagalina,Sterile,H2,A,none,H2_6,4,S,H6,1,0.72,17.55,2.77,21.04,,,,,,,
Huagalina,Sterile,H2,A,none,H2_9,4,S,H9,1,0.42,17.63,3.06,21.11,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_1,4,S,A1,2,0.04,31.02,3.06,34.12,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_10,4,S,A10,2,0.11,27.91,1.28,29.3,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_2,4,S,tube,,0.03,17.72,2.25,20,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_4,4,S,tube,,NA,NA,NA,NA,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_6,PC1_2,4,N,A2,2,0.17,33.32,1.63,35.12,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_6,PC1_4,4,N,A4,2,0.04,36.37,2.23,38.64,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_6,PC1_5,4,N,A5,2,0.03,27.61,1.48,29.12,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_6,PC1_9,4,N,A9,2,0.13,44.09,1.02,45.24,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_8,PC1_3,4,P,A3,2,0.15,28.77,1.97,30.89,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_8,PC1_6,4,P,A6,2,0.18,29.85,2.24,32.27,,,,,,,
