Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Huagalina,Sterile,H1,A,none,H1_6,3,S,G6,1,1.01,0.96,4.95,6.92,,,,,,,
Huagalina,Sterile,H1,A,none,H1_7,3,S,G7,1,0.84,,4.07,4.91,,,,,,,NO TUBER
Huagalina,Sterile,H2,A,none,H2_5,3,S,F5,1,0.55,,2.85,3.4,,,,,,,NO TUBER
Huagalina,Sterile,H2,A,none,H2_6,3,S,F6,1,0.22,,1.77,1.99,,,,,,,NO TUBER
Huagalina,Winterfell,H2,A,H2_10,H2_1,3,P,F1,1,0.77,,4.85,5.62,,,,,,,NO TUBER
Huagalina,Winterfell,H2,A,H2_10,H2_8,3,P,F8,1,0.27,,1.88,2.15,,,,,,,NO TUBER
Huagalina,Winterfell,H2,A,H2_10,H2_9,3,P,F9,1,0.52,0.83,3.98,5.33,,,,,,,
Huagalina,Winterfell,H2,A,H2_10,H2_10,3,P,F10,1,0.54,,4.02,4.56,,,,,,,NO TUBER
Huagalina,Winterfell,H2,A,H2_7,H2_2,3,N,F2,1,0.33,,4.23,4.56,,,,,,,NO TUBER
Huagalina,Winterfell,H2,A,H2_7,H2_3,3,N,F3,1,0.61,,4.15,4.76,,,,,,,NO TUBER
Huagalina,Winterfell,H2,A,H2_7,H2_4,3,N,F4,1,0.71,0.06,2.02,2.79,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_7,3,N,F7,1,0.31,,2.56,2.87,,,,,,,NO TUBER
Papa Cacho,Hancock,PC1,C,PC1_10,PC1_1,3,N,A12,1,1.75,24.62,7.25,33.62,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_10,PC1_4,3,N,D12,1,2.06,8.99,9.83,20.88,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_10,PC1_5,3,N,E12,1,1.98,3.03,9.2,14.21,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_10,PC1_6,3,N,F12,1,1.6,,8.08,9.68,,,,,,,NO TUBER
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_2,3,P,B12,1,2.4,7.64,6.65,16.69,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_7,3,P,G12,1,1.94,2.55,11.59,16.08,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_8,3,P,H12,1,1,23.96,4.95,29.91,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_10,3,P,B11,1,2.91,,13.54,16.45,,,,,,,NO TUBER
Papa Cacho,Sterile,PC1,C,none,PC1_3,3,S,C12,1,1.21,28.5,7.66,37.37,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_9,3,S,A11,1,2.89,3.69,13.02,19.6,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_8,3,S,B8,1,1.67,9.24,5.51,16.42,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_10,3,S,B10,1,0.94,8.13,5.71,14.78,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_2,PC2_2,3,P,B2,1,2.04,,7.93,9.97,,,,,,,NO TUBER
Papa Cacho,Winterfell,PC2,C,PC2_2,PC2_5,3,P,B5,1,1.03,10.44,6.09,17.56,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_2,PC2_7,3,P,B7,1,0.99,2.46,6.61,10.06,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_2,PC2_9,3,P,B9,1,1.4,12.9,6.57,20.87,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_1,3,N,B1,1,2.6,,11.08,13.68,,,,,,,NO TUBER
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_3,3,N,B3,1,1.28,2.05,9.03,12.36,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_4,3,N,B4,1,1.41,0.88,7.15,9.44,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_6,3,N,B6,1,0.96,0,5.97,6.93,,,,,,,NO TUBER
Ranger,Hancock,R1,M,R1_3,R1_5,3,N,,,,,,0,,,,,,,NO PLANT
Ranger,Hancock,R1,M,R1_3,R1_7,3,N,H7,1,0.39,0,1.94,2.33,,,,,,,NO TUBER
Ranger,Hancock,R1,M,R1_3,R1_8,3,N,H8,1,0.59,0.84,2.03,3.46,,,,,,,
Ranger,Hancock,R1,M,R1_3,R1_9,3,N,H9,1,0.33,0.6,2.18,3.11,,,,,,,
Ranger,Hancock,R1,M,R1_9,R1_2,3,P,H2,1,0.86,,3.06,3.92,,,,,,,NO TUBER
Ranger,Hancock,R1,M,R1_9,R1_4,3,P,H4,1,0.29,,1.85,2.14,,,,,,,NO TUBER
Ranger,Hancock,R1,M,R1_9,R1_6,3,P,H6,1,0.03,,0.59,0.62,,,,,,,NO TUBER
Ranger,Hancock,R1,M,R1_9,R1_10,3,P,H10,1,0.78,0.48,2.85,4.11,,,,,,,
Ranger,Sterile,R1,M,none,R1_1,3,S,H1,1,1.32,,2.35,3.67,,,,,,,NO TUBER
Ranger,Sterile,R1,M,none,R1_3,3,S,H3,1,0.54,0.66,2.25,3.45,,,,,,,
Ranger,Sterile,R2,M,none,R2_8,3,S,,,,,,0,,,,,,,NO PLANT
Ranger,Sterile,R2,M,none,R2_9,3,S,,,,,,0,,,,,,,NO PLANT
Ranger,Winterfell,R2,M,R2_2,R2_1,3,N,B1,2,0.54,1.04,4.55,6.13,,,,,,,
Ranger,Winterfell,R2,M,R2_2,R2_4,3,N,B4,2,0.26,1.41,3.59,5.26,,,,,,,
Ranger,Winterfell,R2,M,R2_2,R2_6,3,N,B6,2,1.22,,6.86,8.08,,,,,,,NO TUBER
Ranger,Winterfell,R2,M,R2_2,R2_10,3,N,B10,2,0.61,,4.36,4.97,,,,,,,NO TUBER
Ranger,Winterfell,R2,M,R2_3,R2_2,3,P,B2,2,0.84,3.56,5.33,9.73,,,,,,,
Ranger,Winterfell,R2,M,R2_3,R2_3,3,P,B3,2,0.88,0.7,5.68,7.26,,,,,,,
Ranger,Winterfell,R2,M,R2_3,R2_5,3,P,B5,2,0.14,,,0.14,,,,,,,NO TUBER/AG?
Ranger,Winterfell,R2,M,R2_3,R2_7,3,P,B7,2,0.25,,3.18,3.43,,,,,,,NO TUBER
Snowden,Hancock,S1,M,S1_10,S1_2,3,N,G2,2,1.57,50.16,6.31,58.04,,,,,,,
Snowden,Hancock,S1,M,S1_10,S1_4,3,N,,,,,,0,,,,,,,NO PLANT
Snowden,Hancock,S1,M,S1_10,S1_9,3,N,G9,2,0.98,15.03,6.53,22.54,,,,,,,
Snowden,Hancock,S1,M,S1_10,S1_10,3,N,G10,2,1.91,13.05,7.72,22.68,,,,,,,
Snowden,Hancock,S1,M,S1_4,S1_3,3,P,G3,2,1.3,26.18,4.03,31.51,,,,,,,
Snowden,Hancock,S1,M,S1_4,S1_5,3,P,G5,2,0.87,30.68,3.94,35.49,,,,,,,
Snowden,Hancock,S1,M,S1_4,S1_6,3,P,G6,2,0.8,23.63,3.93,28.36,,,,,,,
Snowden,Hancock,S1,M,S1_4,S1_8,3,P,G8,2,2.54,62.2,8.66,73.4,,,,,,,
Snowden,Sterile,S1,M,none,S1_1,3,S,G1,2,1.82,36.94,2.87,41.63,,,,,,,
Snowden,Sterile,S1,M,none,S1_7,3,S,,,,,,0,,,,,,,NO PLANT
Snowden,Sterile,S2,M,none,S2_1,3,S,E12,2,3.45,29.62,4.28,37.35,,,,,,,
Snowden,Sterile,S2,M,none,S2_2,3,S,,,,,,0,,,,,,,NO PLANT
Snowden,Winterfell,S2,M,S2_1,S2_3,3,P,,,,,,0,,,,,,,NO PLANT
Snowden,Winterfell,S2,M,S2_1,S2_5,3,P,,,,,,0,,,,,,,NO PLANT
Snowden,Winterfell,S2,M,S2_1,S2_7,3,P,E7,2,2.96,33.2,7.4,43.56,,,,,,,
Snowden,Winterfell,S2,M,S2_1,S2_10,3,P,,,,,,0,,,,,,,NO PLANT
Snowden,Winterfell,S2,M,S2_2,S2_4,3,S,E4,2,1.77,6.1,3.94,11.81,,,,,,,
Snowden,Winterfell,S2,M,S2_2,S2_6,3,S,,,,,,0,,,,,,,NO PLANT
Snowden,Winterfell,S2,M,S2_2,S2_8,3,S,E8,2,2.08,10.98,4.72,17.78,,,,,,,
Snowden,Winterfell,S2,M,S2_2,S2_9,3,S,E9,2,1.92,18.87,4.57,25.36,,,,,,,
Wac 5,Hancock,W1,A,W1_5,W1_2,3,P,H2,2,0.92,27.87,3.3,32.09,,,,,,,
Wac 5,Hancock,W1,A,W1_5,W1_3,3,P,,,,,,0,,,,,,,NO PLANT
Wac 5,Hancock,W1,A,W1_5,W1_4,3,P,,,,,,0,,,,,,,NO PLANT
Wac 5,Hancock,W1,A,W1_5,W1_10,3,P,H10,2,1.42,9.27,3.89,14.58,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_1,3,N,H1,2,0.82,18.1,3.4,22.32,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_5,3,N,H5,2,2.68,11.88,3.14,17.7,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_8,3,N,H8,2,0.56,21.93,4.02,26.51,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_9,3,N,H9,2,1.73,7.11,7.43,16.27,,,,,,,
Wac 5,Sterile,W1,A,none,W1_6,3,S,,,,,,0,,,,,,,NO PLANT
Wac 5,Sterile,W1,A,none,W1_7,3,S,H7,2,1.43,17.18,3.16,21.77,,,,,,,
Wac 5,Sterile,W2,A,none,W2_4,3,S,,,,,,0,,,,,,,NO PLANT
Wac 5,Sterile,W2,A,none,W2_8,3,S,A8,2,0.15,6.14,1.72,8.01,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_2,3,N,,,,,,0,,,,,,,NO PLANT
Wac 5,Winterfell,W2,A,W2_10,W2_3,3,N,A3,2,0.95,0.37,5.1,6.42,,,,,,,PLANTED EARLIER
Wac 5,Winterfell,W2,A,W2_10,W2_6,3,N,,,,,,0,,,,,,,NO PLANT
Wac 5,Winterfell,W2,A,W2_10,W2_10,3,N,A10,2,0.38,3.01,2.24,5.63,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_1,3,P,A1,2,1.37,5.78,2.59,9.74,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_5,3,P,,,,,0.75,0.75,,,,,,,NO TUBER/BG?
Wac 5,Winterfell,W2,A,W2_7,W2_7,3,P,A7,2,0.07,1.61,1.26,2.94,,,,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_9,3,P,A9,2,0.36,4.93,1.64,6.93,,,,,,,
Wac 663,Hancock,WA1,A,WA1_1,WA1_1,3,N,,,0.98,,,0.98,,,,,,,NO TUBER/AG?
Wac 663,Hancock,WA1,A,WA1_1,WA1_3,3,N,C3,2,0.69,6.36,3.63,10.68,,,,,,,
Wac 663,Hancock,WA1,A,WA1_1,WA1_5,3,N,,,,,,0,,,,,,,NO PLANT
Wac 663,Hancock,WA1,A,WA1_1,WA1_6,3,N,C6,2,0.08,,,0.08,,,,,,,NO TUBER/AG?
Wac 663,Hancock,WA1,A,WA1_10,WA1_2,3,P,C2,2,1.13,9.6,5.39,16.12,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_4,3,P,C4,2,0.23,,3.87,4.1,,,,,,,NO TUBER
Wac 663,Hancock,WA1,A,WA1_10,WA1_8,3,P,C8,2,1.15,3.52,5.14,9.81,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_10,3,P,,,,,,0,,,,,,,NO PLANT
Wac 663,Sterile,WA1,A,none,WA1_7,3,S,,,0.31,2.47,4.74,7.52,,,,,,,NO ROOT SAMPLE?
Wac 663,Sterile,WA1,A,none,WA1_9,3,S,,,1.3,5.78,12.13,19.21,,,,,,,NO ROOT SAMPLE?
Wac 663,Sterile,WA2,A,none,WA2_2,3,S,F2,2,2,,5.23,7.23,,,,,,,NO TUBER
Wac 663,Sterile,WA2,A,none,WA2_10,3,S,,,,,,0,,,,,,,NO PLANT
Wac 663,Winterfell,WA2,A,WA2_10,WA2_1,3,P,F1,2,1.44,1.39,6.83,9.66,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_10,WA2_6,3,P,,,,,,0,,,,,,,NO PLANT
Wac 663,Winterfell,WA2,A,WA2_10,WA2_8,3,P,F8,2,0.54,2.91,5.47,8.92,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_10,WA2_9,3,P,F9,2,0.1,,,0.1,,,,,,,NO TUBER/AG?
Wac 663,Winterfell,WA2,A,WA2_3,WA2_3,3,N,F3,2,0.65,,3.1,3.75,,,,,,,NO TUBER
Wac 663,Winterfell,WA2,A,WA2_3,WA2_4,3,N,,,,,1.64,1.64,,,,,,,NO TUBER/EMPTY BG BAG
Wac 663,Winterfell,WA2,A,WA2_3,WA2_5,3,N,F5,2,2.14,0.45,9.43,12.02,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_3,WA2_7,3,N,F7,2,0.35,1.14,4.62,6.11,,,,,,,
Burbank,Hancock,B1,M,B1_6,B1_2,4,P,G2,2,0.3,33.08,1.54,34.92,,GH_2018_Box_1,D1,,,,
Burbank,Hancock,B1,M,B1_7,B1_7,4,N,G7,2,0.28,3.4,1.79,5.47,,GH_2018_Box_1,D7,,,,
Burbank,Winterfell,B2,M,B2_5,B2_4,4,N,D4,2,0.55,18.53,2.85,21.93,,GH_2018_Box_1,D3,,,,
Burbank,Winterfell,B2,M,B2_6,B2_5,4,P,D5,2,0.83,39.03,3.29,43.15,,GH_2018_Box_1,D4,,,,
Cor.C 95,Hancock,CC1,C,CC1_1,CC1_4,4,P,F4,1,0.45,23.54,1.86,25.85,,GH_2018_Box_1,D5,,,,
Cor.C 95,Hancock,CC1,C,CC1_6,CC1_5,4,N,F5,1,1.24,19.45,2.09,22.78,,GH_2018_Box_1,D6,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_2,4,P,F2,2,0.42,19.11,1.75,21.28,,GH_2018_Box_1,D2,,,,
Cor.C 95,Winterfell,CC2,C,CC2_5,CC2_4,4,N,F4,2,0.22,8.19,1.58,9.99,,GH_2018_Box_1,D8,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_7,4,P,C7,1,0.23,45.32,0.88,46.43,,GH_2018_Box_1,,,,,
G.Chili,Hancock,GC1,C,GC1_3,GC1_10,4,N,C10,1,0.06,26.6,1.04,27.7,,GH_2018_Box_1,D10,,,,
Huagalina,Hancock,H1,A,H1_10,H1_5,4,P,G5,1,1.93,0,3.71,5.64,,GH_2018_Box_1,D11,,,,
Huagalina,Hancock,H1,A,H1_5,H1_7,4,N,G7,1,0.38,0,2.45,2.83,,GH_2018_Box_1,D12,,,,
Huagalina,Winterfell,H2,A,H2_9,H2_1,4,P,H1,1,1.72,11.85,6.72,20.29,,GH_2018_Box_1,E1,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_7,4,N,H7,1,0.44,4.61,3.67,8.72,,GH_2018_Box_1,E2,,,,
Papa Cacho,Hancock,PC1,C,PC1_6,PC1_5,4,N,A5,2,0.03,27.61,1.48,29.12,,GH_2018_Box_1,E3,,,,
Papa Cacho,Hancock,PC1,C,PC1_8,PC1_7,4,P,A7,2,0.08,34.84,2.92,37.84,,GH_2018_Box_1,E4,,,,
Papa Cacho,Winterfell,PC2,C,PC2_9,PC2_7,4,P,,,0.08,27.45,3.34,30.87,,GH_2018_Box_1,E5,,,,
Papa Cacho,Winterfell,PC2,C,PC2_6,PC2_8,4,N,,,0.05,12.21,2.98,15.24,,GH_2018_Box_1,E6,,,,
Ranger,Hancock,R1,M,R1_7,R1_4,4,N,E4,1,0.07,24.74,1.78,26.59,,GH_2018_Box_1,E7,,,,
Ranger,Hancock,R1,M,R1_10,R1_10,4,P,E10,1,0.13,44.99,1.99,47.11,,GH_2018_Box_1,E8,,,,
Ranger,Winterfell,R2,M,R2_2,R2_8,4,P,C8,2,0.03,25.78,1.8,27.61,,GH_2018_Box_1,E9,,,,
Ranger,Winterfell,R2,M,R2_10,R2_10,4,N,C10,2,0.03,20.35,1.78,22.16,,GH_2018_Box_1,E10,,,,
Snowden,Hancock,S1,M,S1_8,S1_1,4,P,,,0.24,36.54,3.74,40.52,,GH_2018_Box_1,E11,,,,
Snowden,Hancock,S1,M,S1_10,S1_9,4,N,,,0.19,26.2,2.67,29.06,,GH_2018_Box_1,E12,,,,
Snowden,Winterfell,S2,M,S2_7,S2_7,4,P,,,0.24,43.57,2.74,46.55,,GH_2018_Box_1,F1,,,,
Snowden,Winterfell,S2,M,S2_4,S2_10,4,N,,,0.06,18.87,2.5,21.43,,GH_2018_Box_1,F2,,,,
Wac 5,Hancock,W1,A,W1_8,W1_4,4,N,d4,1,0.61,7.35,3.75,11.71,,GH_2018_Box_1,F3,,,,
Wac 5,Hancock,W1,A,W1_5,W1_8,4,P,d8,1,0.73,35.66,4.85,41.24,,GH_2018_Box_1,F4,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_1,4,N,E1,2,0.54,1.48,4.2,6.22,,GH_2018_Box_1,F5,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_10,4,P,E10,2,0.64,0.23,2.75,3.62,,GH_2018_Box_1,F6,,,,
Wac 663,Hancock,WA1,A,WA1_2,WA1_6,4,P,B6,1,0.36,16.23,5.1,21.69,,GH_2018_Box_1,F7,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_10,4,N,B10,1,0.15,0,3.24,3.39,,GH_2018_Box_1,F8,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_2,4,P,B2,2,0.23,10.98,2.19,13.4,,GH_2018_Box_1,F9,,,,
Wac 663,Winterfell,WA2,A,WA2_3,WA2_8,4,N,B8,2,0.04,0,2.58,2.62,,GH_2018_Box_1,F10,,,,
Burbank,Hancock,B1,M,B1_7,B1_1,1,N,Tube,,,22.42,3.73,26.15,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_2,2,P,Tube,,1.59,51.37,7.13,60.09,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_3,3,P,Tube,,1.25,35.21,8.47,44.93,,,,,,,
Burbank,Hancock,B1,M,B1_7,B1_4,4,N,Tube,,0.67,41.57,5.49,47.73,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_5,5,P,Tube,,0.97,,10.73,11.7,,,,,,,
Burbank,Hancock,B1,M,B1_7,B1_6,6,N,Tube,,0.68,47.39,3.55,51.62,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_7,7,P,Tube,,0.99,47.25,4.95,53.19,,,,,,,
Burbank,Sterile,B1,M,none,B1_8,8,S,Tube,,0.6,47.71,5.28,53.59,,,,,,,
Burbank,Hancock,B1,M,B1_7,B1_9,9,N,Tube,,0.78,22.91,5.32,29.01,,,,,,,
Burbank,Sterile,B1,M,none,B1_10,10,S,Tube,,0.35,42.5,4.6,47.45,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_1,1,N,,,0.55,44.37,4.31,49.23,,,,,,,
Burbank,Sterile,B2,M,none,B2_2,2,S,,,0.36,,3.07,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_3,3,P,,,0.11,,1.88,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_4,4,P,,,0.28,,3.97,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_5,5,P,,,0.93,,3.77,0,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_6,6,N,,,0.58,52.86,4.85,58.29,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_7,7,N,,,1.07,,4.62,0,,,,,,,
Burbank,Sterile,B2,M,none,B2_8,8,S,,,0.71,,2.5,0,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_9,9,N,,,0.51,,4.6,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_10,10,P,,,1.21,,3.8,0,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_1,1,N,G1,1,1.31,0,13.69,15,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_2,2,P,G2,1,3.28,0,9.03,12.31,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_3,3,N,G3,1,2.03,0,9.12,11.15,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_4,4,N,G4,1,2.22,3.68,8.81,14.71,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_5,5,N,G5,1,2.12,0,9.1,11.22,,,,,,,
Cor.C 95,Sterile,CC1,C,none,CC1_6,6,S,G6,1,1.53,16.38,5.97,23.88,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_7,7,P,G7,1,1.44,0.03,5.87,7.34,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_8,8,P,G8,1,2.18,7.41,8.11,17.7,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_9,9,P,G9,1,2.42,0,10.73,13.15,,,,,,,
Cor.C 95,Sterile,CC1,C,none,CC1_10,10,S,G10,1,NA,NA,NA,0,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_1,1,P,C1,1,2.39,0,10.18,12.57,,,,,,,
Cor.C 95,Sterile,CC2,C,none,CC2_2,2,S,C2,1,1.66,17.5,7.48,26.64,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_3,3,N,C3,1,1.61,0,10.12,11.73,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_4,4,P,C4,1,1.57,0,10.13,11.7,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_5,5,P,C5,1,1.04,0.03,6.12,7.19,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_6,6,N,C6,1,1.06,16.42,5.76,23.24,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_7,7,P,C7,1,1.05,4.42,4.38,9.85,,,,,,,
Cor.C 95,Sterile,CC2,C,none,CC2_8,8,S,C8,1,1.3,8.83,3.82,13.95,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_9,9,N,C9,1,1.68,0,7.97,9.65,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_10,10,N,C10,1,1.28,0,6.74,8.02,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_1,1,N,D1,1,1.11,31.27,3.64,36.02,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_2,2,P,D2,1,2.75,38.17,12.17,53.09,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_3,3,P,D3,1,1.53,36.56,12.21,50.3,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_4,4,S,D4,1,0.89,55.92,,56.81,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_5,5,P,D5,1,1.79,37.64,6.01,45.44,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_6,6,N,D6,1,0.77,52.24,8.41,61.42,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_7,7,S,D7,1,0.63,47.9,3,51.53,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_8,8,N,D8,1,1,65.25,6.25,72.5,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_9,9,P,D9,1,1.9,38.05,12.3,52.25,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_10,10,N,D10,1,2.87,21.66,14.97,39.5,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_1,1,P,D1,2,0.71,38.62,4.21,43.54,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_2,2,S,D2,2,0.37,44.25,2.87,47.49,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_3,3,S,D3,2,0.6,47.99,4.23,52.82,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_4,4,N,D4,2,0.75,29.69,6.41,36.85,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_5,5,P,D5,2,0.6,40.46,3.34,44.4,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_6,6,N,D6,2,0.58,46.77,3.79,51.14,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_7,7,P,D7,2,0.64,27.67,1.72,30.03,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_8,8,N,D8,2,0.7,47.43,5.33,53.46,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_9,9,P,D9,2,0.7,25.39,2.7,28.79,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_10,10,N,D10,2,0.68,32.51,3.72,36.91,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_1,1,P,B1,1,1.02,22.84,7.36,31.22,,,,,,,
Huagalina,Sterile,H1,A,none,H1_2,2,S,B2,1,1.38,24.98,4.92,31.28,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_3,3,N,B3,1,0.34,12.75,2.99,16.08,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_4,4,P,B4,1,1.01,21.54,4.72,27.27,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_5,5,N,B5,1,0.75,17.79,4.73,23.27,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_6,6,P,B6,1,0.53,13.41,3.12,17.06,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_7,7,P,B7,1,0.39,13.59,3.07,17.05,,,,,,,
Huagalina,Sterile,H1,A,none,H1_8,8,S,B8,1,0.86,24.9,3.78,29.54,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_9,9,N,B9,1,0.27,21.39,3.71,25.37,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_10,10,N,B10,1,0.52,17.53,4.55,22.6,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_1,1,N,C1,2,1.27,21.21,2.76,25.24,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_2,2,N,C2,2,0.99,29.59,4.71,35.29,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_3,3,P,C3,2,0.67,25.19,4.62,30.48,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_4,4,N,C4,2,0.4,20.64,3.47,24.51,,,,,,,
Huagalina,Sterile,H2,A,none,H2_5,5,S,C5,2,1,32.09,4.7,37.79,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_6,6,N,C6,2,0.96,18.12,3.86,22.94,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_7,7,P,C7,2,NA,NA,NA,0,,,,,,,
Huagalina,Sterile,H2,A,none,H2_8,8,S,C8,2,0.45,18.2,2.89,21.54,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_9,9,P,C9,2,1.06,26.15,5.38,32.59,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_10,10,P,C10,2,0.94,34.24,7.22,42.4,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_1,1,P,A1,2,1.06,21.64,6.94,29.64,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_2,2,P,A2,2,0.9,35.31,4.78,40.99,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_3,3,S,A3,2,1.14,38.01,6.66,45.81,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_4,4,N,A4,2,2.14,50.14,10.43,62.71,,,,,,,
