"","Genotype","Soil_type.x","Block","Clade.x","Soil_inoculation","Sample_ID","Iteration","rep","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","Clade.y","Soil_type.y","Selection.y","avg","n","se","Response"
"224","Wac 663","Hancock","WA1","A","WA1_6","WA1_7",2,"","P","H7",2,"0.51",26.37,1.9,28.78,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,7.25
"225","Wac 663","Hancock","WA1","A","WA1_6","WA1_8",2,"","P","H8",2,"1.04",26.59,3.15,30.78,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,7.47
"226","Wac 663","Hancock","WA1","A","WA1_6","WA1_3",2,"","P","H3",2,"1.64",27.49,2.97,32.1,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,8.37
"227","Wac 663","Hancock","WA1","A","WA1_6","WA1_10",2,"","P","H10",2,"1.54",30.48,2.96,34.98,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,11.36
"228","Wac 663","Sterile","WA1","A","Sterile","WA1_5",2,"","S","H5",2,"0.34",14.96,1.63,16.93,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-4.16
"229","Wac 663","Sterile","WA1","A","Sterile","WA1_6",2,"","S","H6",2,"0.39",15.87,1.96,18.22,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-3.25
"230","Wac 663","Sterile","WA2","A","Sterile","WA2_4",2,"","S","F4",2,"0.83",19.86,3.6,24.29,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,0.739999999999998
"231","Wac 663","Sterile","WA2","A","Sterile","WA2_6",2,"","S","F6",2,"1.47",25.79,2.75,30.01,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,6.67
"232","Wac 663","Winterfell","WA2","A","WA2_4","WA2_3",2,"","N","F3",2,"0.62",12.48,3.05,16.15,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-6.64
"233","Wac 663","Winterfell","WA2","A","WA2_4","WA2_1",2,"","N","F1",2,"4.8",14.99,3.15,22.94,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-4.13
"234","Wac 663","Winterfell","WA2","A","WA2_4","WA2_5",2,"","N","F5",2,"1.56",15.77,2.93,20.26,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-3.35
"235","Wac 663","Winterfell","WA2","A","WA2_4","WA2_8",2,"","N","F8",2,"0.58",18.31,2.73,21.62,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-0.810000000000002
"236","Wac 663","Winterfell","WA2","A","WA2_2","WA2_7",2,"","P","F7",2,"1.02",14.74,2.88,18.64,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-4.38
"237","Wac 663","Winterfell","WA2","A","WA2_2","WA2_9",2,"","P","F9",2,"1.4",15.79,3.66,20.85,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-3.33
"238","Wac 663","Winterfell","WA2","A","WA2_2","WA2_2",2,"","P","F2",2,"2.8",18.72,2.65,24.17,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,-0.400000000000002
"239","Wac 663","Winterfell","WA2","A","WA2_2","WA2_10",2,"","P","F10",2,"0.73",23.97,2.75,27.45,"",NA,NA,NA,NA,NA,"","A","Sterile","S",19.12,4,2.46482927062572,4.85
"240","Norkodah","Hancock","N1","M","R1_4","R1_1",2,"","N","A1",3,"0.1",40.88,NA,40.98,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-4.425
"241","Norkodah","Hancock","N1","M","R1_4","R1_3",2,"","N","A3",3,"0.06",32.53,NA,32.59,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-12.775
"242","Norkodah","Hancock","N1","M","R1_4","R1_10",2,"","N","A10",3,"0.04",37.06,NA,37.1,"",NA,NA,NA,NA,NA,"","M","Sterile","S",45.305,4,2.72746066271663,-8.245
