"Row.names","Genotype","Soil_type.x","Block","Clade","Soil_inoculation","Sample_ID","Iteration","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","combo_line","Soil_type.y","Selection.y","avg","n","se","Response","Type_Response","Chao1","se.chao1","Shannon","InvSimpson"
"CC1_1_3","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_1","3","P","A11",1,"2.54",0,5.13,7.67,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",15,0,1.69301550051883,4.23455492779601
"CC1_1_5","Cor.C 95","Hancock","CC1","C","CC1_5","CC1_1","5","N","G1",1,"1.31",0,13.69,15,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",13,0,1.24484227782326,2.45671226586815
"CC1_10_3","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_10","3","P","A10",1,"0.99",0,5.07,6.06,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",12,0,1.17211388146829,2.37360020048977
"CC1_2_5","Cor.C 95","Hancock","CC1","C","CC1_4","CC1_2","5","P","G2",1,"3.28",0,9.03,12.31,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",8,0,1.18409899920278,2.74463336983231
"CC1_3_3","Cor.C 95","Hancock","CC1","C","CC1_9","CC1_3","3","P","A3",1,"1.51",0,3.87,5.38,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",18,0,1.73737674693438,4.44726310592382
"CC1_3_5","Cor.C 95","Hancock","CC1","C","CC1_5","CC1_3","5","N","G3",1,"2.03",0,9.12,11.15,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.23666667,3,2.72259884,-14.23666667,"Negative",12,0,1.41723572099327,3.25908967464891
"CC1_4_3","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_4","3","N","A4",1,"0.36",0,2.79,3.15,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",13,0,0.900829218168386,1.69977155786802
"CC1_4_4","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_4","4","P","F4",1,"0.45",23.54,1.86,25.85,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.9725,4,8.782117602,8.5675,"Positive",14,0,1.34272435832745,2.83488828239301
"CC1_5_3","Cor.C 95","Hancock","CC1","C","CC1_1","CC1_5","3","N","A5",1,"0.79",0,2.28,3.07,"",NA,NA,NA,NA,NA,"NO TUBER","Cor.C 95_Sterile_S","Sterile","S",0,4,0,0,"Neutral",16,0,1.77130996363527,4.6014052918504
"CC1_5_4","Cor.C 95","Hancock","CC1","C","CC1_6","CC1_5","4","N","F5",1,"1.24",19.45,2.09,22.78,"",NA,NA,NA,NA,NA,"","Cor.C 95_Sterile_S","Sterile","S",14.9725,4,8.782117602,4.4775,"Positive",14,0,1.38198543864788,2.93984161371619
