"Row.names","Genotype","Soil_type.x","Block","Clade","Soil_inoculation","Sample_ID","Iteration","Selection.x","Plate.Positon","Plate","Belowground","Tuber_Mass","Aboveground","Total","DNA.Extract","Plate_DNA","Slot_DNA","DNA_conc","i5_adaptor_16S","i7_adaptor_16S","Notes","combo_line","Soil_type.y","Selection.y","avg","n","se","Response","Type_Response","Chao1","se.chao1","Shannon","InvSimpson"
"H1_2_3","Huagalina","Hancock","H1","A","H1_8","H1_2","3","N","G2",1,"0.6",0,3.45,4.05,"",NA,NA,NA,NA,NA,"NO TUBER","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",18,0,1.8216549160595,4.20470203155772
"H1_3_3","Huagalina","Hancock","H1","A","H1_8","H1_3","3","N","G3",1,"0.57",0,3.38,3.95,"",NA,NA,NA,NA,NA,"NO TUBER","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",18,0,1.78913729760932,4.23620399652052
"H1_3_5","Huagalina","Hancock","H1","A","H1_7","H1_3","5","N","B3",1,"0.34",12.75,2.99,16.08,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-12.2925,"Negative",11,0,1.14238391124048,2.36995064713609
"H1_4_3","Huagalina","Hancock","H1","A","H1_6","H1_4","3","P","G4",1,"0.25",0,3.2,3.45,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",16,0,1.78797714692983,4.35783264476541
"H1_4_5","Huagalina","Hancock","H1","A","H1_5","H1_4","5","P","B4",1,"1.01",21.54,4.72,27.27,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-3.5025,"Negative",9,0,1.20675803990312,2.74914447055023
"H1_5_4","Huagalina","Hancock","H1","A","H1_10","H1_5","4","P","G5",1,"1.93",0,3.71,5.64,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",13.41,4,3.0857333,-13.41,"Negative",17,0,1.41817905597793,3.11167800664158
"H1_5_5","Huagalina","Hancock","H1","A","H1_7","H1_5","5","N","B5",1,"0.75",17.79,4.73,23.27,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-7.2525,"Negative",14,0,1.30197198707585,2.93769975692797
"H1_6_2","Huagalina","Hancock","H1","A","H1_5","H1_6","2","P","B6",1,"4.27",1.33,4.73,10.33,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",2.5325,4,1.47172447,-1.2025,"Negative",13,0,1.33743463901585,2.90234918037294
"H1_6_5","Huagalina","Hancock","H1","A","H1_5","H1_6","5","P","B6",1,"0.53",13.41,3.12,17.06,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-11.6325,"Negative",8,0,1.28373350613762,3.18160716112937
"H1_7_4","Huagalina","Hancock","H1","A","H1_5","H1_7","4","N","G7",1,"0.38",0,2.45,2.83,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",13.41,4,3.0857333,-13.41,"Negative",16,0,1.59574823609402,3.58301124202481
"H1_7_5","Huagalina","Hancock","H1","A","H1_5","H1_7","5","P","B7",1,"0.39",13.59,3.07,17.05,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-11.4525,"Negative",11,0,1.34218240033749,3.45045066747513
"H1_8_2","Huagalina","Hancock","H1","A","H1_6","H1_8","2","N","B8",1,"2.86",0,4.87,7.73,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",2.5325,4,1.47172447,-2.5325,"Negative",14,0,1.23729855874986,2.47474937243144
"H1_8_3","Huagalina","Hancock","H1","A","H1_6","H1_8","3","P","G8",1,"0.37",0,2.84,3.21,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",16,0,1.71821552354829,4.01111391552476
"H1_9_3","Huagalina","Hancock","H1","A","H1_8","H1_9","3","N","G9",1,"0.86",0,2.79,3.65,"",NA,NA,NA,NA,NA,"NO TUBER","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",13,0,1.50358351989818,3.84871644516152
"H1_9_5","Huagalina","Hancock","H1","A","H1_7","H1_9","5","N","B9",1,"0.27",21.39,3.71,25.37,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-3.6525,"Negative",12,0,1.25028329355756,3.04738958272427
"H2_1_4","Huagalina","Winterfell","H2","A","H2_9","H2_1","4","P","H1",1,"1.72",11.85,6.72,20.29,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",13.41,4,3.0857333,-1.56,"Negative",8,0,1.05911075854519,2.25556895437673
"H2_10_2","Huagalina","Winterfell","H2","A","H2_3","H2_10","2","P","C10",1,"3.55",7.96,7.49,19,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",2.5325,4,1.47172447,5.4275,"Positive",23,0,1.62618789284595,3.15525761287202
"H2_2_3","Huagalina","Winterfell","H2","A","H2_7","H2_2","3","N","F2",1,"0.33",0,4.23,4.56,"",NA,NA,NA,NA,NA,"NO TUBER","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",13,0,1.59902485556168,3.72891601088714
"H2_2_5","Huagalina","Winterfell","H2","A","H2_7","H2_2","5","N","C2",2,"0.99",29.59,4.71,35.29,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,4.5475,"Positive",25,0,1.60736701083871,3.43864277992389
"H2_3_3","Huagalina","Winterfell","H2","A","H2_7","H2_3","3","N","F3",1,"0.61",0,4.15,4.76,"",NA,NA,NA,NA,NA,"NO TUBER","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.24,"Negative",10,0,1.49316357159861,3.45981615009592
"H2_3_5","Huagalina","Winterfell","H2","A","H2_1","H2_3","5","P","C3",2,"0.67",25.19,4.62,30.48,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,0.1475,"Positive",18,0,1.54911289452296,3.42175263969276
"H2_4_3","Huagalina","Winterfell","H2","A","H2_7","H2_4","3","N","F4",1,"0.71",0.06,2.02,2.79,"",NA,NA,NA,NA,NA,"NO TUBER","Huagalina_Sterile_S","Sterile","S",0.24,4,0.24,-0.18,"Negative",15,0,1.7642687885015,4.37827506408785
"H2_4_5","Huagalina","Winterfell","H2","A","H2_7","H2_4","5","N","C4",2,"0.4",20.64,3.47,24.51,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-4.4025,"Negative",25,0,1.67165358887746,3.67354007333285
"H2_6_5","Huagalina","Winterfell","H2","A","H2_7","H2_6","5","N","C6",2,"0.96",18.12,3.86,22.94,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,-6.9225,"Negative",22,0,1.45510611172222,2.80982748975441
"H2_7_2","Huagalina","Winterfell","H2","A","H2_4","H2_7","2","N","C7",1,"2.5",1.78,3.27,7.55,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",2.5325,4,1.47172447,-0.7525,"Negative",12,0,1.44858622434131,3.55171543175468
"H2_7_4","Huagalina","Winterfell","H2","A","H2_7","H2_7","4","N","H7",1,"0.44",4.61,3.67,8.72,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",13.41,4,3.0857333,-8.8,"Negative",15,0,1.55640996279736,3.9184854453917
"H2_9_5","Huagalina","Winterfell","H2","A","H2_1","H2_9","5","P","C9",2,"1.06",26.15,5.38,32.59,"",NA,NA,NA,NA,NA,"","Huagalina_Sterile_S","Sterile","S",25.0425,4,2.835948915,1.1075,"Positive",21,0,1.55536434403319,3.47840414609062
"PC1_1_3","Papa Cacho","Hancock","PC1","C","PC1_10","PC1_1","3","N","A12",1,"1.75",24.62,7.25,33.62,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,12.23,"Positive",16,0,1.74063108377929,4.5576587337019
"PC1_10_5","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_10","5","N","A10",2,"1.81",45.87,5.66,53.34,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,7.2625,"Positive",14,0,1.36231085830562,3.05130920558486
"PC1_2_5","Papa Cacho","Hancock","PC1","C","PC1_7","PC1_2","5","P","A2",2,"0.9",35.31,4.78,40.99,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-3.2975,"Negative",22,0,1.60781145360836,4.02667081117839
"PC1_4_3","Papa Cacho","Hancock","PC1","C","PC1_10","PC1_4","3","N","D12",1,"2.06",8.99,9.83,20.88,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-3.4,"Negative",9,0,1.45014015089951,3.49071383703923
"PC1_4_5","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_4","5","N","A4",2,"2.14",50.14,10.43,62.71,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,11.5325,"Positive",18,0,1.54887088455165,3.67635198671701
"PC1_5_3","Papa Cacho","Hancock","PC1","C","PC1_10","PC1_5","3","N","E12",1,"1.98",3.03,9.2,14.21,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-9.36,"Negative",12,0,1.52903206180262,3.41304554701889
"PC1_5_4","Papa Cacho","Hancock","PC1","C","PC1_6","PC1_5","4","N","A5",2,"0.03",27.61,1.48,29.12,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",25.55,3,4.01661964,2.06,"Positive",11,0,1.33930015752029,2.7584120465619
"PC1_5_5","Papa Cacho","Hancock","PC1","C","PC1_7","PC1_5","5","P","A5",2,"2.08",46.89,6.64,55.61,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,8.2825,"Positive",16,0,1.29037343152365,2.96227035318337
"PC1_6_3","Papa Cacho","Hancock","PC1","C","PC1_10","PC1_6","3","N","F12",1,"1.6",0,8.08,9.68,"",NA,NA,NA,NA,NA,"NO TUBER","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-12.39,"Negative",10,0,1.44393080157,2.99444104691392
"PC1_6_5","Papa Cacho","Hancock","PC1","C","PC1_7","PC1_6","5","P","A6",2,"0.69",37.72,4.51,42.92,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-0.8875,"Negative",24,0,1.69603915846055,4.42345630407356
"PC1_7_3","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_7","3","P","G12",1,"1.94",2.55,11.59,16.08,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-9.84,"Negative",14,0,1.64777676842374,3.95988573604795
"PC1_7_4","Papa Cacho","Hancock","PC1","C","PC1_8","PC1_7","4","P","A7",2,"0.08",34.84,2.92,37.84,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",25.55,3,4.01661964,9.29,"Positive",11,0,1.08449681717961,2.09447630848812
"PC1_8_3","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_8","3","P","H12",1,"1",23.96,4.95,29.91,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,11.57,"Positive",19,0,1.72994167977326,4.22237818325536
"PC1_8_5","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_8","5","N","A8",2,"1.06",29.93,5.56,36.55,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-8.6775,"Negative",17,0,1.460919799751,3.18819872663746
"PC1_9_5","Papa Cacho","Hancock","PC1","C","PC1_5","PC1_9","5","N","A9",2,"1.35",25.31,5.27,31.93,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-13.2975,"Negative",18,0,1.44298819999343,3.22154642695424
"PC2_1_3","Papa Cacho","Winterfell","PC2","C","PC2_9","PC2_1","3","N","B1",1,"2.6",0,11.08,13.68,"",NA,NA,NA,NA,NA,"NO TUBER","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-12.39,"Negative",8,0,1.33125785367423,3.08503786367711
"PC2_10_5","Papa Cacho","Winterfell","PC2","C","PC2_7","PC2_10","5","P","B10",2,"1.62",27.02,9.3,37.94,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-11.5875,"Negative",17,0,1.37418676729279,3.25265610427676
"PC2_2_3","Papa Cacho","Winterfell","PC2","C","PC2_2","PC2_2","3","P","B2",1,"2.04",0,7.93,9.97,"",NA,NA,NA,NA,NA,"NO TUBER","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-12.39,"Negative",13,0,1.52282854374897,3.79768274349432
"PC2_2_5","Papa Cacho","Winterfell","PC2","C","PC2_8","PC2_2","5","N","B2",2,"1.15",44.15,8.81,54.11,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,5.5425,"Positive",21,0,1.63309477235255,3.88898364700156
"PC2_3_3","Papa Cacho","Winterfell","PC2","C","PC2_9","PC2_3","3","N","B3",1,"1.28",2.05,9.03,12.36,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-10.34,"Negative",10,0,1.36026151130714,3.07270096449842
"PC2_4_3","Papa Cacho","Winterfell","PC2","C","PC2_9","PC2_4","3","N","B4",1,"1.41",0.88,7.15,9.44,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-11.51,"Negative",11,0,1.40676328714188,2.97117246172284
"PC2_4_5","Papa Cacho","Winterfell","PC2","C","PC2_7","PC2_4","5","P","B4",2,"1.31",37.71,6.11,45.13,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-0.8975,"Negative",15,0,1.21232718432933,2.79906962843669
"PC2_5_3","Papa Cacho","Winterfell","PC2","C","PC2_2","PC2_5","3","P","B5",1,"1.03",10.44,6.09,17.56,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-1.95,"Negative",12,0,1.29023991554004,2.93043227190473
"PC2_5_5","Papa Cacho","Winterfell","PC2","C","PC2_8","PC2_5","5","N","B5",2,"1.75",31.38,9.67,42.8,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-7.2275,"Negative",17,0,1.49838003840104,3.48748678854526
"PC2_6_5","Papa Cacho","Winterfell","PC2","C","PC2_7","PC2_6","5","P","B6",2,"1.2",37.52,5.96,44.68,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-1.0875,"Negative",20,0,1.69387702035928,4.11709748265025
"PC2_7_3","Papa Cacho","Winterfell","PC2","C","PC2_2","PC2_7","3","P","B7",1,"0.99",2.46,6.61,10.06,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,-9.93,"Negative",13,0,1.34183459581534,3.2858966608977
"PC2_7_4","Papa Cacho","Winterfell","PC2","C","PC2_9","PC2_7","4","P","tube",NA,"0.08",27.45,3.34,30.87,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",25.55,3,4.01661964,1.9,"Positive",13,0,0.738530651995147,1.54771325690446
"PC2_7_5","Papa Cacho","Winterfell","PC2","C","PC2_8","PC2_7","5","N","B7",2,"1.51",40.07,5.88,47.46,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,1.4625,"Positive",21,0,1.8091777241528,4.46075400767721
"PC2_8_4","Papa Cacho","Winterfell","PC2","C","PC2_6","PC2_8","4","N","tube",NA,"0.05",12.21,2.98,15.24,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",25.55,3,4.01661964,-13.34,"Negative",16,0,1.62044341787229,3.95033551485373
"PC2_8_5","Papa Cacho","Winterfell","PC2","C","PC2_7","PC2_8","5","P","B8",2,"1.28",33.69,10.12,45.09,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",38.6075,4,6.519342215,-4.9175,"Negative",15,0,1.3416676866328,3.16301957561709
"PC2_9_3","Papa Cacho","Winterfell","PC2","C","PC2_2","PC2_9","3","P","B9",1,"1.4",12.9,6.57,20.87,"",NA,NA,NA,NA,NA,"","Papa Cacho_Sterile_S","Sterile","S",12.39,4,5.502213191,0.51,"Positive",12,0,1.46483066784895,3.41796155761727
"R1_1_2","Norkodah","Hancock","N1","M","R1_4","R1_1","2","N","A1",3,"0.1",40.88,NA,40.98,"",NA,NA,NA,NA,NA,"","Norkodah_Sterile_S","Sterile","S",45.305,4,2.727460663,-4.425,"Negative",11,0,1.30070953864593,3.037314120816
"R1_10_3","Ranger","Hancock","R1","M","R1_9","R1_10","3","P","H10",1,"0.78",0.48,2.85,4.11,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,0.15,"Positive",15,0,1.59214358026029,3.58444064790371
"R1_2_3","Ranger","Hancock","R1","M","R1_9","R1_2","3","P","H2",1,"0.86",0,3.06,3.92,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",17,0,1.60697631901275,3.23850970158361
"R1_2_5","Ranger","Hancock","R1","M","R1_10","R1_2","5","P","Tube",NA,"0.17",34.65,3.08,37.9,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,-2.2975,"Negative",23,0,1.52719499033249,3.37902827817647
"R1_4_3","Ranger","Hancock","R1","M","R1_9","R1_4","3","P","H4",1,"0.29",0,1.85,2.14,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",10,0,1.54287457017474,3.46957118685463
"R1_4_4","Ranger","Hancock","R1","M","R1_7","R1_4","4","N","E4",1,"0.07",24.74,1.78,26.59,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",29.9125,4,2.263774043,-5.1725,"Negative",13,0,1.52536252289707,3.36418505508576
"R1_4_5","Ranger","Hancock","R1","M","R1_4","R1_4","5","N","Tube",NA,"0.71",21.91,6.51,29.13,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,-15.0375,"Negative",18,0,1.18086091974714,2.26213669406598
"R1_6_3","Ranger","Hancock","R1","M","R1_9","R1_6","3","P","H6",1,"0.03",0,0.59,0.62,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",18,0,1.49159168644081,3.1754259650902
"R1_7_3","Ranger","Hancock","R1","M","R1_3","R1_7","3","N","H7",1,"0.39",0,1.94,2.33,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",16,0,1.5050548618658,3.30415401348786
"R1_7_5","Ranger","Hancock","R1","M","R1_10","R1_7","5","P","Tube",NA,"0.4",38.8,3.3,42.5,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,1.8525,"Positive",19,0,1.30131010429729,2.42048099267862
"R1_8_3","Ranger","Hancock","R1","M","R1_3","R1_8","3","N","H8",1,"0.59",0.84,2.03,3.46,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,0.51,"Positive",16,0,1.52787631435177,3.17782003797974
"R1_9_2","Norkodah","Hancock","N1","M","R1_6","R1_9","2","P","A9",3,"0.07",53.95,NA,54.02,"",NA,NA,NA,NA,NA,"NO PLANT","Norkodah_Sterile_S","Sterile","S",45.305,4,2.727460663,8.645,"Positive",15,0,1.36116918439403,2.61880690949376
"R1_9_3","Ranger","Hancock","R1","M","R1_3","R1_9","3","N","H9",1,"0.33",0.6,2.18,3.11,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,0.27,"Positive",17,0,1.82087102036293,4.6024755204187
"R2_1_3","Ranger","Winterfell","R2","M","R2_2","R2_1","3","N","B1",2,"0.54",1.04,4.55,6.13,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,0.71,"Positive",14,0,1.32941462382012,2.55806358050388
"R2_10_3","Ranger","Winterfell","R2","M","R2_2","R2_10","3","N","B10",2,"0.61",0,4.36,4.97,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",14,0,1.41299265531904,2.68456499021385
"R2_10_4","Ranger","Winterfell","R2","M","R2_10","R2_10","4","N","C10",2,"0.03",20.35,1.78,22.16,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",29.9125,4,2.263774043,-9.5625,"Negative",15,0,1.06327167142306,1.96425744831845
"R2_2_3","Ranger","Winterfell","R2","M","R2_3","R2_2","3","P","B2",2,"0.84",3.56,5.33,9.73,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,3.23,"Positive",16,0,1.63396542320471,3.91117898714128
"R2_3_3","Ranger","Winterfell","R2","M","R2_3","R2_3","3","P","B3",2,"0.88",0.7,5.68,7.26,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,0.37,"Positive",16,0,1.67161911889978,4.28670372768254
"R2_4_3","Ranger","Winterfell","R2","M","R2_2","R2_4","3","N","B4",2,"0.26",1.41,3.59,5.26,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,1.08,"Positive",11,0,1.34499564562717,2.92074901929938
"R2_5_3","Ranger","Winterfell","R2","M","R2_3","R2_5","3","P","B5",2,"0.14",0,NA,0.14,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",15,0,1.61205918298083,3.90582602841268
"R2_5_5","Ranger","Winterfell","R2","M","R2_10","R2_5","5","N","Tube",NA,"0.44",57.71,3.92,62.07,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,20.7625,"Positive",18,0,1.51460732301878,3.32178022907828
"R2_6_3","Ranger","Winterfell","R2","M","R2_2","R2_6","3","N","B6",2,"1.22",0,6.86,8.08,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",16,0,1.67215484251783,3.98965124238216
"R2_6_5","Ranger","Winterfell","R2","M","R2_10","R2_6","5","N","Tube",NA,"0.49",37.93,3.72,42.14,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,0.9825,"Positive",18,0,1.33216616341126,2.67508676363965
"R2_7_3","Ranger","Winterfell","R2","M","R2_3","R2_7","3","P","B7",2,"0.25",0,3.18,3.43,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",0.33,2,0.33,-0.33,"Negative",13,0,1.62422764702076,4.00692869164955
"R2_7_5","Ranger","Winterfell","R2","M","R2_8","R2_7","5","P","Tube",NA,"0.56",35.2,3.84,39.6,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,-1.7475,"Negative",22,0,1.48351066716529,3.02695948379239
"R2_8_4","Ranger","Winterfell","R2","M","R2_2","R2_8","4","P","C8",2,"0.03",25.78,1.8,27.61,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",29.9125,4,2.263774043,-4.1325,"Negative",12,0,1.0073375111891,2.03272980427965
"R2_8_5","Ranger","Winterfell","R2","M","R2_8","R2_8","5","P","Tube",NA,"0.22",29.64,4.01,33.87,"",NA,NA,NA,NA,NA,"","Ranger_Sterile_S","Sterile","S",36.9475,4,3.315504926,-7.3075,"Negative",18,0,1.17711589094793,2.20866217507204
"S1_1_4","Snowden","Hancock","S1","M","S1_8","S1_1","4","P","tube",NA,"0.24",36.54,3.74,40.52,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",31.63,4,2.640773245,4.91,"Positive",12,0,1.57371131722001,3.5491146263379
"S1_10_3","Snowden","Hancock","S1","M","S1_10","S1_10","3","N","G10",2,"1.91",13.05,7.72,22.68,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",33.28,2,3.66,-20.23,"Negative",9,0,1.47011595391315,3.37420713157824
"S1_10_5","Snowden","Hancock","S1","M","S1_9","S1_10","5","N","Tube",NA,"1.8",26.81,8.34,36.95,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",45.115,4,7.271561616,-18.305,"Negative",17,0,1.52567793330489,3.96476600263887
"S1_2_3","Snowden","Hancock","S1","M","S1_10","S1_2","3","N","G2",2,"1.57",50.16,6.31,58.04,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",33.28,2,3.66,16.88,"Positive",11,0,1.32006266424479,3.05843003385019
"S1_2_5","Snowden","Hancock","S1","M","S1_6","S1_2","5","P","Tube",NA,"1.65",60.44,8.12,70.21,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",45.115,4,7.271561616,15.325,"Positive",16,0,1.47388668451794,3.47596272160232
"S1_3_3","Snowden","Hancock","S1","M","S1_4","S1_3","3","P","G3",2,"1.3",26.18,4.03,31.51,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",33.28,2,3.66,-7.1,"Negative",12,0,1.47668753902078,3.40504720342443
"S1_4_2","Snowden","Hancock","S1","M","S1_3","S1_4","2","P","G4",2,"0.48",56.09,2.22,58.79,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",41.3225,4,8.267697558,14.7675,"Positive",17,0,1.52775571132181,3.27322047585012
"S1_5_5","Snowden","Hancock","S1","M","S1_9","S1_5","5","N","Tube",NA,"0.9",58.6,6.1,65.6,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",45.115,4,7.271561616,13.485,"Positive",14,0,1.4926064507826,3.72341505072703
"S1_6_5","Snowden","Hancock","S1","M","S1_9","S1_6","5","N","Tube",NA,"0",47.58,5.19,52.77,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",45.115,4,7.271561616,2.465,"Positive",14,0,1.45026858882802,3.65333989645093
"S1_8_3","Snowden","Hancock","S1","M","S1_4","S1_8","3","P","G8",2,"2.54",62.2,8.66,73.4,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",33.28,2,3.66,28.92,"Positive",9,0,1.3608715911024,3.07830574251311
"S1_8_5","Snowden","Hancock","S1","M","S1_6","S1_8","5","P","Tube",NA,"1.22",53.73,6.39,61.34,"",NA,NA,NA,NA,NA,"","Snowden_Sterile_S","Sterile","S",45.115,4,7.271561616,8.615,"Positive",19,0,1.56094038711562,3.88685237278556
